NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:15:15
DATA_INCLUDED	Angular Velocity
DATA_TYPES	HR_Angular_Velocity

Frame	Time	HR_Angular_Velocity	
492	4.91000	65.762
493	4.92000	61.548
494	4.93000	57.491
495	4.94000	53.488
496	4.95000	49.683
497	4.96000	45.960
498	4.97000	41.207
499	4.98000	36.256
500	4.99000	32.163
501	5.00000	28.522
502	5.01000	26.228
503	5.02000	25.028
504	5.03000	23.651
505	5.04000	21.580
506	5.05000	18.675
507	5.06000	14.618
508	5.07000	9.552
509	5.08000	5.844
510	5.09000	4.471
511	5.10000	4.866
512	5.11000	7.014
513	5.12000	10.231
514	5.13000	13.304
515	5.14000	15.130
516	5.15000	15.384
517	5.16000	14.252
518	5.17000	12.439
519	5.18000	10.478
520	5.19000	8.416
521	5.20000	6.383
522	5.21000	4.685
523	5.22000	3.233
524	5.23000	1.815
525	5.24000	0.435
526	5.25000	-0.846
527	5.26000	-1.934
528	5.27000	-2.893
529	5.28000	-3.694
530	5.29000	-4.248
531	5.30000	-4.524
532	5.31000	-4.316
533	5.32000	-3.723
534	5.33000	-3.042
535	5.34000	-2.495
536	5.35000	-2.182
537	5.36000	-2.005
538	5.37000	-1.999
539	5.38000	-2.011
540	5.39000	-1.802
541	5.40000	-1.530
542	5.41000	-1.441
543	5.42000	-1.643
544	5.43000	-2.041
545	5.44000	-2.532
546	5.45000	-2.978
547	5.46000	-3.210
548	5.47000	-3.276
549	5.48000	-3.105
550	5.49000	-2.741
551	5.50000	-2.529
552	5.51000	-2.474
553	5.52000	-2.513
554	5.53000	-2.530
555	5.54000	-2.477
556	5.55000	-2.386
557	5.56000	-2.306
558	5.57000	-2.380
559	5.58000	-2.619
560	5.59000	-3.082
561	5.60000	-3.785
562	5.61000	-4.534
563	5.62000	-5.352
564	5.63000	-6.336
565	5.64000	-7.293
566	5.65000	-8.065
567	5.66000	-8.640
568	5.67000	-8.754
569	5.68000	-8.302
570	5.69000	-7.510
571	5.70000	-6.822
572	5.71000	-5.589
573	5.72000	-3.742
574	5.73000	-2.192
575	5.74000	-0.854
576	5.75000	0.251
577	5.76000	1.255
578	5.77000	2.194
579	5.78000	2.683
580	5.79000	2.435
581	5.80000	1.314
582	5.81000	0.071
583	5.82000	-1.222
584	5.83000	-2.812
585	5.84000	-4.294
586	5.85000	-5.769
587	5.86000	-7.111
588	5.87000	-8.633
589	5.88000	-10.716
590	5.89000	-13.455
591	5.90000	-16.924
592	5.91000	-20.964
593	5.92000	-25.275
594	5.93000	-29.428
595	5.94000	-33.494
596	5.95000	-37.962
597	5.96000	-42.509
598	5.97000	-47.738
599	5.98000	-53.604
600	5.99000	-59.100
601	6.00000	-64.073
602	6.01000	-68.628
603	6.02000	-73.308
604	6.03000	-78.077
605	6.04000	-82.694
606	6.05000	-87.353
607	6.06000	-91.950
608	6.07000	-97.235
609	6.08000	-103.012
610	6.09000	-108.638
611	6.10000	-114.480
612	6.11000	-119.932
613	6.12000	-123.773
614	6.13000	-124.761
615	6.14000	-123.064
616	6.15000	-120.165
617	6.16000	-117.470
618	6.17000	-115.937
619	6.18000	-115.781
620	6.19000	-116.993
621	6.20000	-119.241
622	6.21000	-121.796
623	6.22000	-123.862
624	6.23000	-125.350
625	6.24000	-127.527
626	6.25000	-130.575
627	6.26000	-133.523
628	6.27000	-135.582
629	6.28000	-136.387
630	6.29000	-135.852
631	6.30000	-134.282
632	6.31000	-132.783
633	6.32000	-132.114
634	6.33000	-132.469
635	6.34000	-133.160
636	6.35000	-133.007
637	6.36000	-132.291
638	6.37000	-132.130
639	6.38000	-132.956
640	6.39000	-134.184
641	6.40000	-135.390
642	6.41000	-136.648
643	6.42000	-137.985
644	6.43000	-138.850
645	6.44000	-138.093
646	6.45000	-136.217
647	6.46000	-133.863
648	6.47000	-130.504
649	6.48000	-126.910
650	6.49000	-123.406
651	6.50000	-119.548
652	6.51000	-115.976
