NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:42:02
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	LR_Angular_Acceleration

Frame	Time	LR_Angular_Acceleration	
489	4.88000	191.603
490	4.89000	213.263
491	4.90000	138.996
492	4.91000	103.707
493	4.92000	-6.539
494	4.93000	-100.558
495	4.94000	-97.536
496	4.95000	-165.301
497	4.96000	-208.985
498	4.97000	-259.126
499	4.98000	-185.449
500	4.99000	-21.596
501	5.00000	159.643
502	5.01000	323.986
503	5.02000	389.337
504	5.03000	409.391
505	5.04000	304.295
506	5.05000	46.093
507	5.06000	-174.809
508	5.07000	-277.221
509	5.08000	-325.315
510	5.09000	-297.475
511	5.10000	-200.582
512	5.11000	-37.117
513	5.12000	163.546
514	5.13000	284.593
515	5.14000	256.618
516	5.15000	173.275
517	5.16000	113.159
518	5.17000	22.172
519	5.18000	-37.479
520	5.19000	-193.693
521	5.20000	-286.525
522	5.21000	-306.833
523	5.22000	-356.848
524	5.23000	-363.363
525	5.24000	-204.084
526	5.25000	17.784
527	5.26000	192.302
528	5.27000	380.698
529	5.28000	491.797
530	5.29000	424.911
531	5.30000	353.740
532	5.31000	231.782
533	5.32000	28.480
534	5.33000	-147.100
535	5.34000	-175.508
536	5.35000	-137.446
537	5.36000	-43.343
538	5.37000	116.599
539	5.38000	170.530
540	5.39000	207.827
541	5.40000	89.202
542	5.41000	5.855
543	5.42000	-127.135
544	5.43000	-237.215
545	5.44000	-336.274
546	5.45000	-363.933
547	5.46000	-356.630
548	5.47000	-229.642
549	5.48000	-25.220
550	5.49000	165.499
551	5.50000	221.702
552	5.51000	288.340
553	5.52000	345.858
554	5.53000	269.852
555	5.54000	78.008
556	5.55000	-56.571
557	5.56000	-104.541
558	5.57000	-68.258
559	5.58000	-56.152
560	5.59000	-66.364
561	5.60000	3.562
562	5.61000	95.036
563	5.62000	259.189
564	5.63000	214.513
565	5.64000	151.224
566	5.65000	70.401
567	5.66000	-38.942
568	5.67000	-132.405
569	5.68000	-252.401
570	5.69000	-264.351
571	5.70000	-182.346
572	5.71000	-33.971
573	5.72000	190.537
574	5.73000	279.083
575	5.74000	174.498
576	5.75000	-20.460
577	5.76000	81.365
578	5.77000	-80.916
579	5.78000	-154.657
580	5.79000	-84.047
581	5.80000	-15.173
582	5.81000	181.291
583	5.82000	253.532
584	5.83000	271.021
585	5.84000	127.129
586	5.85000	89.294
587	5.86000	273.247
588	5.87000	94.027
589	5.88000	104.355
590	5.89000	168.298
591	5.90000	301.027
592	5.91000	467.415
593	5.92000	507.202
594	5.93000	677.902
595	5.94000	305.259
596	5.95000	-302.503
597	5.96000	-741.260
598	5.97000	-715.393
599	5.98000	-566.766
600	5.99000	-251.402
601	6.00000	-310.857
602	6.01000	1118.790
603	6.02000	759.419
604	6.03000	-2578.074
605	6.04000	-4162.371
606	6.05000	-5486.998
607	6.06000	-5619.714
608	6.07000	-4505.797
609	6.08000	-2251.402
610	6.09000	900.354
611	6.10000	3727.019
612	6.11000	6701.981
613	6.12000	5918.209
614	6.13000	2953.200
615	6.14000	2466.826
616	6.15000	884.732
617	6.16000	-332.560
618	6.17000	-1139.610
619	6.18000	-1045.120
620	6.19000	-477.656
621	6.20000	-209.929
622	6.21000	-55.959
623	6.22000	-119.983
624	6.23000	-61.660
625	6.24000	441.853
626	6.25000	697.144
627	6.26000	710.967
628	6.27000	557.926
629	6.28000	482.980
630	6.29000	390.944
631	6.30000	231.405
632	6.31000	152.958
633	6.32000	79.244
634	6.33000	60.911
635	6.34000	204.345
636	6.35000	227.864
637	6.36000	39.352
638	6.37000	-144.676
639	6.38000	-195.762
640	6.39000	-244.195
641	6.40000	-242.563
