NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:37:47
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KL_Angular_Acceleration

Frame	Time	KL_Angular_Acceleration	
203	2.02000	-622.283
204	2.03000	-355.385
205	2.04000	-82.269
206	2.05000	54.896
207	2.06000	212.023
208	2.07000	245.866
209	2.08000	270.319
210	2.09000	304.881
211	2.10000	446.254
212	2.11000	641.488
213	2.12000	838.681
214	2.13000	982.032
215	2.14000	1060.507
216	2.15000	1030.282
217	2.16000	907.183
218	2.17000	656.718
219	2.18000	367.014
220	2.19000	75.995
221	2.20000	-152.704
222	2.21000	-328.151
223	2.22000	-463.887
224	2.23000	-516.017
225	2.24000	-464.448
226	2.25000	-328.387
227	2.26000	-147.843
228	2.27000	-50.839
229	2.28000	-40.321
230	2.29000	-49.284
231	2.30000	-118.496
232	2.31000	-161.018
233	2.32000	-163.710
234	2.33000	-142.119
235	2.34000	-83.506
236	2.35000	-19.188
237	2.36000	29.064
238	2.37000	12.324
239	2.38000	-18.491
240	2.39000	-39.280
241	2.40000	-106.668
242	2.41000	-94.451
243	2.42000	5.914
244	2.43000	-9.297
245	2.44000	-74.764
246	2.45000	-154.888
247	2.46000	-263.081
248	2.47000	-359.765
249	2.48000	-428.849
250	2.49000	-502.560
251	2.50000	-555.707
252	2.51000	-449.072
253	2.52000	-419.406
254	2.53000	-341.110
255	2.54000	-199.394
256	2.55000	-37.537
257	2.56000	77.544
258	2.57000	206.221
259	2.58000	215.551
260	2.59000	175.761
261	2.60000	116.615
262	2.61000	52.367
263	2.62000	-47.507
264	2.63000	63.818
265	2.64000	113.250
