NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	30
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:23:04
DATA_INCLUDED	Position
DATA_TYPES	SL_pos_X	SL_pos_Y	SL_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z

Frame	Time	SL_pos_X	SL_pos_Y	SL_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	
53	0.52000	282.251	249.662	1606.464	496.948	217.311	38.926	319.678	180.580	588.821	238.142	203.423	105.720	252.812	-180.975	110.891	313.385	-148.949	592.184	510.961	-199.810	40.064	308.871	-205.497	1615.953	303.708	-196.605	1042.342	0.000	0.000	0.000
54	0.53000	282.202	249.557	1606.474	496.944	217.319	38.914	319.707	180.534	588.799	238.131	203.401	105.757	252.824	-180.982	110.911	313.343	-148.929	592.132	510.968	-199.820	40.060	308.816	-205.616	1615.905	303.744	-196.653	1042.322	0.000	0.000	0.000
55	0.54000	282.137	249.454	1606.504	496.941	217.324	38.937	319.752	180.550	588.813	238.140	203.423	105.767	252.822	-181.005	110.911	313.380	-148.949	592.119	510.965	-199.822	40.046	308.764	-205.736	1615.847	303.764	-196.705	1042.308	0.000	0.000	0.000
56	0.55000	282.104	249.344	1606.508	496.947	217.321	38.930	319.779	180.521	588.841	238.150	203.388	105.731	252.831	-181.005	110.906	313.403	-149.035	592.120	510.956	-199.827	40.035	308.714	-205.847	1615.770	303.776	-196.759	1042.328	0.000	0.000	0.000
57	0.56000	282.031	249.239	1606.523	496.942	217.315	38.916	319.811	180.492	588.807	238.186	203.379	105.711	252.822	-180.994	110.891	313.429	-148.997	592.093	510.966	-199.824	40.023	308.686	-205.941	1615.714	303.797	-196.802	1042.279	0.000	0.000	0.000
58	0.57000	281.958	249.154	1606.552	496.956	217.316	38.931	319.837	180.480	588.824	238.166	203.357	105.741	252.834	-181.004	110.871	313.443	-149.129	592.099	510.962	-199.830	40.029	308.614	-206.056	1615.655	303.818	-196.851	1042.293	0.000	0.000	0.000
59	0.58000	281.888	249.026	1606.594	496.954	217.301	38.915	319.838	180.457	588.834	238.174	203.357	105.752	252.843	-181.005	110.908	313.462	-149.085	592.046	510.964	-199.829	40.025	308.524	-206.162	1615.649	303.808	-196.875	1042.270	0.000	0.000	0.000
60	0.59000	281.830	248.959	1606.599	496.952	217.318	38.911	319.830	180.451	588.855	238.177	203.353	105.810	252.842	-181.000	110.874	313.491	-149.089	592.031	510.971	-199.814	40.010	308.454	-206.238	1615.651	303.871	-196.881	1042.281	0.000	0.000	0.000
61	0.60000	281.754	248.851	1606.621	496.956	217.327	38.938	319.823	180.422	588.845	238.214	203.322	105.733	252.834	-180.980	110.860	313.498	-149.152	592.011	510.965	-199.824	40.036	308.408	-206.317	1615.613	303.907	-196.904	1042.250	0.000	0.000	0.000
62	0.61000	281.680	248.789	1606.659	496.942	217.324	38.910	319.821	180.406	588.849	238.219	203.310	105.744	252.838	-181.002	110.864	313.511	-149.146	591.993	510.961	-199.804	40.027	308.323	-206.417	1615.574	303.912	-196.951	1042.271	0.000	0.000	0.000
