NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:20:30
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KR_Angular_Acceleration_pre

Frame	Time	KR_Angular_Acceleration_pre	
527	5.26000	-65.230
528	5.27000	-69.083
529	5.28000	-38.766
530	5.29000	-42.124
531	5.30000	-21.399
532	5.31000	21.328
533	5.32000	15.529
534	5.33000	17.839
535	5.34000	-31.416
536	5.35000	-16.800
537	5.36000	-9.144
538	5.37000	4.573
539	5.38000	49.431
540	5.39000	80.792
541	5.40000	62.391
542	5.41000	48.055
543	5.42000	-4.334
544	5.43000	-12.126
545	5.44000	-24.224
546	5.45000	-4.511
547	5.46000	19.802
548	5.47000	25.004
549	5.48000	41.246
550	5.49000	23.191
551	5.50000	-24.628
552	5.51000	-33.585
553	5.52000	-39.499
554	5.53000	-20.272
555	5.54000	-8.820
556	5.55000	6.556
557	5.56000	14.989
558	5.57000	-17.387
559	5.58000	-40.409
560	5.59000	-78.896
561	5.60000	-119.611
562	5.61000	-111.207
563	5.62000	-145.242
564	5.63000	-167.001
565	5.64000	-129.619
566	5.65000	-94.738
567	5.66000	-52.319
568	5.67000	28.396
569	5.68000	88.081
570	5.69000	101.910
571	5.70000	-46.108
572	5.71000	339.414
573	5.72000	246.197
574	5.73000	220.141
575	5.74000	178.610
576	5.75000	122.859
577	5.76000	104.455
578	5.77000	55.026
579	5.78000	-52.017
580	5.79000	-200.464
581	5.80000	-343.132
582	5.81000	-77.621
583	5.82000	-260.201
584	5.83000	-182.312
585	5.84000	-180.500
586	5.85000	-121.625
587	5.86000	-27.990
588	5.87000	-14.259
589	5.88000	-28.715
590	5.89000	-107.467
591	5.90000	-127.339
592	5.91000	-170.914
593	5.92000	-205.475
594	5.93000	-117.853
595	5.94000	-199.550
596	5.95000	-164.479
597	5.96000	11.876
598	5.97000	-313.800
599	5.98000	-217.693
600	5.99000	-211.341
601	6.00000	-51.330
602	6.01000	-175.072
603	6.02000	-277.414
604	6.03000	-319.522
605	6.04000	-226.146
606	6.05000	-258.013
607	6.06000	-125.401
608	6.07000	-497.506
609	6.08000	-423.649
610	6.09000	-678.116
611	6.10000	-676.498
612	6.11000	-676.579
613	6.12000	-396.324
614	6.13000	176.632
615	6.14000	361.602
616	6.15000	366.316
617	6.16000	310.853
618	6.17000	52.262
619	6.18000	-61.144
620	6.19000	-281.760
621	6.20000	-195.970
622	6.21000	-150.575
623	6.22000	-78.222
624	6.23000	-201.714
625	6.24000	-548.560
626	6.25000	-598.852
627	6.26000	-454.557
628	6.27000	-223.929
629	6.28000	55.075
630	6.29000	242.821
631	6.30000	319.629
632	6.31000	131.814
633	6.32000	-58.465
634	6.33000	-225.486
635	6.34000	-210.985
636	6.35000	-120.293
637	6.36000	-41.270
638	6.37000	-200.537
639	6.38000	-274.585
640	6.39000	-278.761
641	6.40000	-288.534
642	6.41000	-209.493
643	6.42000	-216.656
644	6.43000	-173.016
645	6.44000	-48.105
646	6.45000	-175.339
647	6.46000	-85.521
648	6.47000	-39.629
649	6.48000	-78.936
650	6.49000	44.089
651	6.50000	210.925
652	6.51000	268.466
653	6.52000	113.862
654	6.53000	60.788
655	6.54000	76.104
656	6.55000	-14.336
657	6.56000	163.417
658	6.57000	174.671
659	6.58000	5.393
660	6.59000	130.960
661	6.60000	181.645
662	6.61000	131.232
663	6.62000	175.511
664	6.63000	176.623
665	6.64000	176.403
666	6.65000	153.681
667	6.66000	139.008
668	6.67000	152.433
669	6.68000	149.529
670	6.69000	148.317
671	6.70000	145.188
672	6.71000	100.082
673	6.72000	77.642
674	6.73000	64.467
675	6.74000	123.472
676	6.75000	152.525
677	6.76000	179.426
678	6.77000	221.387
679	6.78000	205.290
680	6.79000	205.258
681	6.80000	214.072
682	6.81000	193.917
683	6.82000	168.575
684	6.83000	209.062
685	6.84000	255.091
686	6.85000	297.725
687	6.86000	258.987
688	6.87000	307.849
689	6.88000	253.688
690	6.89000	229.379
691	6.90000	214.501
692	6.91000	238.459
693	6.92000	253.964
694	6.93000	328.936
695	6.94000	418.793
696	6.95000	514.317
697	6.96000	592.746
698	6.97000	714.314
699	6.98000	674.288
700	6.99000	635.574
701	7.00000	530.436
702	7.01000	401.949
703	7.02000	203.963
704	7.03000	10.368
705	7.04000	-207.304
706	7.05000	-315.924
707	7.06000	-362.527
708	7.07000	-390.301
709	7.08000	-392.219
710	7.09000	-341.403
711	7.10000	-278.414
712	7.11000	-208.925
713	7.12000	-129.876
714	7.13000	-91.843
715	7.14000	-50.369
716	7.15000	20.044
717	7.16000	70.140
718	7.17000	107.538
719	7.18000	99.144
720	7.19000	92.152
721	7.20000	96.391
722	7.21000	48.902
723	7.22000	31.967
724	7.23000	-14.731
725	7.24000	9.301
726	7.25000	-2.732
727	7.26000	30.071
728	7.27000	45.051
729	7.28000	18.548
730	7.29000	20.970
731	7.30000	-13.063
732	7.31000	-40.138
733	7.32000	-57.088
734	7.33000	-69.699
735	7.34000	-40.353
736	7.35000	-31.344
737	7.36000	-0.537
738	7.37000	23.343
739	7.38000	60.632
740	7.39000	95.181
741	7.40000	81.323
742	7.41000	113.297
743	7.42000	109.703
744	7.43000	109.513
745	7.44000	107.910
746	7.45000	103.875
747	7.46000	76.077
748	7.47000	84.654
749	7.48000	101.247
750	7.49000	98.278
751	7.50000	28.028
752	7.51000	63.605
753	7.52000	46.937
