NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	30
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:32:21
DATA_INCLUDED	Position
DATA_TYPES	KR_pos_X	KR_pos_Y	KR_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z

Frame	Time	KR_pos_X	KR_pos_Y	KR_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	
59	0.58000	262.314	-143.104	593.475	215.408	202.630	1674.349	477.460	-210.388	35.546	201.732	-164.505	1655.124	221.460	-171.555	110.897	212.849	220.458	106.336	225.721	239.802	1050.610	273.269	202.008	584.993	218.467	-183.989	1044.307	469.039	250.227	35.815
60	0.59000	262.276	-143.125	593.456	215.344	202.626	1674.351	477.453	-210.398	35.556	201.682	-164.546	1655.115	221.452	-171.550	110.870	212.834	220.433	106.328	225.694	239.785	1050.589	273.270	201.969	584.941	218.405	-184.008	1044.300	469.042	250.242	35.855
61	0.60000	262.195	-143.139	593.404	215.289	202.595	1674.345	477.455	-210.389	35.567	201.618	-164.581	1655.066	221.436	-171.556	110.848	212.808	220.434	106.279	225.675	239.740	1050.543	273.283	201.939	584.902	218.365	-184.004	1044.290	469.031	250.223	35.859
62	0.61000	262.126	-143.137	593.375	215.236	202.563	1674.329	477.447	-210.397	35.583	201.551	-164.648	1655.056	221.426	-171.567	110.842	212.799	220.424	106.285	225.660	239.712	1050.515	273.299	201.951	584.891	218.328	-184.019	1044.251	469.024	250.216	35.893
63	0.62000	262.037	-143.174	593.361	215.195	202.517	1674.328	477.442	-210.384	35.599	201.459	-164.660	1655.021	221.416	-171.563	110.817	212.819	220.420	106.257	225.640	239.717	1050.530	273.312	201.902	584.881	218.276	-184.039	1044.245	469.027	250.228	35.882
64	0.63000	261.914	-143.195	593.375	215.150	202.532	1674.342	477.445	-210.379	35.584	201.417	-164.654	1654.982	221.408	-171.557	110.825	212.817	220.410	106.295	225.635	239.681	1050.506	273.330	201.899	584.894	218.243	-184.084	1044.236	469.034	250.228	35.849
65	0.64000	261.789	-143.210	593.406	215.118	202.501	1674.374	477.435	-210.377	35.621	201.356	-164.660	1654.962	221.392	-171.563	110.820	212.829	220.416	106.313	225.625	239.675	1050.521	273.299	201.859	584.881	218.211	-184.108	1044.214	469.034	250.235	35.826
66	0.65000	261.688	-143.174	593.381	215.092	202.462	1674.377	477.429	-210.378	35.628	201.291	-164.684	1654.947	221.387	-171.570	110.820	212.848	220.399	106.330	225.595	239.623	1050.523	273.247	201.858	584.930	218.160	-184.155	1044.212	469.048	250.226	35.828
67	0.66000	261.599	-143.205	593.380	215.069	202.421	1674.386	477.435	-210.366	35.641	201.225	-164.750	1654.905	221.378	-171.565	110.835	212.840	220.410	106.357	225.574	239.592	1050.550	273.181	201.798	584.937	218.142	-184.195	1044.195	469.046	250.246	35.815
68	0.67000	261.541	-143.188	593.332	215.013	202.384	1674.392	477.429	-210.378	35.644	201.150	-164.792	1654.896	221.373	-171.559	110.818	212.855	220.401	106.325	225.554	239.551	1050.561	273.100	201.812	584.952	218.112	-184.232	1044.184	469.037	250.230	35.814
69	0.68000	261.494	-143.225	593.323	214.978	202.331	1674.392	477.426	-210.363	35.661	201.105	-164.851	1654.875	221.358	-171.554	110.823	212.866	220.416	106.331	225.536	239.504	1050.571	273.034	201.788	584.954	218.096	-184.241	1044.181	469.041	250.230	35.826
70	0.69000	261.459	-143.247	593.292	214.906	202.264	1674.388	477.429	-210.367	35.669	201.064	-164.925	1654.777	221.362	-171.556	110.796	212.829	220.436	106.349	225.510	239.462	1050.580	273.009	201.776	584.938	218.051	-184.256	1044.157	469.038	250.230	35.842
71	0.70000	261.452	-143.283	593.279	214.838	202.190	1674.395	477.430	-210.374	35.659	201.013	-164.968	1654.785	221.363	-171.555	110.790	212.818	220.417	106.339	225.507	239.454	1050.575	273.001	201.775	584.941	218.018	-184.281	1044.138	469.039	250.232	35.866
72	0.71000	261.479	-143.311	593.257	214.771	202.106	1674.395	477.429	-210.372	35.661	200.981	-165.019	1654.782	221.361	-171.572	110.788	212.795	220.419	106.315	225.498	239.419	1050.555	273.033	201.777	584.913	217.989	-184.322	1044.153	469.022	250.226	35.893
73	0.72000	261.517	-143.321	593.283	214.713	202.076	1674.395	477.430	-210.368	35.655	200.948	-165.060	1654.805	221.360	-171.579	110.803	212.797	220.412	106.282	225.471	239.399	1050.521	273.075	201.746	584.856	217.947	-184.391	1044.158	469.019	250.227	35.915
74	0.73000	261.537	-143.353	593.290	214.648	202.032	1674.387	477.435	-210.355	35.644	200.960	-165.057	1654.725	221.374	-171.570	110.784	212.779	220.396	106.302	225.443	239.386	1050.497	273.148	201.707	584.826	217.916	-184.419	1044.155	469.014	250.238	35.942
75	0.74000	261.561	-143.349	593.281	214.620	202.002	1674.371	477.436	-210.367	35.642	200.913	-165.093	1654.700	221.367	-171.593	110.800	212.798	220.392	106.268	225.409	239.371	1050.482	273.236	201.724	584.854	217.933	-184.459	1044.119	469.008	250.224	35.924
76	0.75000	261.567	-143.386	593.309	214.615	201.943	1674.364	477.425	-210.379	35.654	200.940	-165.185	1654.648	221.368	-171.599	110.780	212.816	220.387	106.278	225.357	239.333	1050.483	273.293	201.688	584.824	217.965	-184.520	1044.134	469.009	250.227	35.910
77	0.76000	261.553	-143.382	593.279	214.589	201.883	1674.360	477.426	-210.381	35.655	200.946	-165.241	1654.598	221.372	-171.601	110.781	212.816	220.373	106.291	225.313	239.298	1050.471	273.323	201.679	584.859	218.038	-184.571	1044.098	469.014	250.230	35.887
78	0.77000	261.520	-143.416	593.277	214.570	201.827	1674.323	477.429	-210.375	35.658	200.951	-165.378	1654.557	221.360	-171.610	110.770	212.837	220.390	106.294	225.270	239.260	1050.463	273.298	201.676	584.886	218.094	-184.598	1044.076	469.032	250.240	35.882
79	0.78000	261.481	-143.399	593.244	214.518	201.822	1674.327	477.426	-210.367	35.678	200.923	-165.425	1654.533	221.351	-171.596	110.767	212.844	220.376	106.294	225.258	239.222	1050.461	273.241	201.642	584.910	218.136	-184.621	1044.056	469.028	250.226	35.849
80	0.79000	261.438	-143.433	593.243	214.438	201.797	1674.316	477.425	-210.365	35.669	200.927	-165.482	1654.461	221.349	-171.592	110.768	212.843	220.397	106.341	225.263	239.196	1050.489	273.178	201.632	584.920	218.163	-184.647	1044.044	469.035	250.225	35.853
81	0.80000	261.418	-143.429	593.219	214.362	201.749	1674.297	477.421	-210.355	35.682	200.926	-165.517	1654.471	221.341	-171.600	110.761	212.838	220.376	106.333	225.301	239.198	1050.517	273.125	201.620	584.953	218.161	-184.693	1044.009	469.031	250.235	35.853
82	0.81000	261.436	-143.411	593.196	214.298	201.726	1674.321	477.426	-210.362	35.684	200.912	-165.582	1654.461	221.340	-171.607	110.763	212.849	220.365	106.344	225.323	239.195	1050.539	273.070	201.605	584.932	218.168	-184.720	1044.013	469.026	250.222	35.852
83	0.82000	261.462	-143.471	593.219	214.245	201.663	1674.360	477.419	-210.353	35.677	200.883	-165.638	1654.416	221.346	-171.578	110.771	212.837	220.364	106.324	225.335	239.188	1050.545	273.052	201.593	584.919	218.166	-184.739	1044.012	469.023	250.231	35.885
