NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:30:40
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity

Frame	Time	KR_Angular_Velocity	
418	4.17000	62.067
419	4.18000	56.378
420	4.19000	50.784
421	4.20000	45.116
422	4.21000	39.617
423	4.22000	34.371
424	4.23000	29.686
425	4.24000	25.654
426	4.25000	22.515
427	4.26000	20.383
428	4.27000	18.368
429	4.28000	17.080
430	4.29000	16.490
431	4.30000	15.749
432	4.31000	14.536
433	4.32000	12.690
434	4.33000	10.510
435	4.34000	7.846
436	4.35000	5.147
437	4.36000	2.658
438	4.37000	0.061
439	4.38000	-1.610
440	4.39000	-2.307
441	4.40000	-2.662
442	4.41000	-2.402
443	4.42000	-1.578
444	4.43000	-0.280
445	4.44000	1.199
446	4.45000	2.980
447	4.46000	4.795
448	4.47000	6.293
449	4.48000	7.262
450	4.49000	7.519
451	4.50000	7.252
452	4.51000	6.906
453	4.52000	6.561
454	4.53000	6.159
455	4.54000	6.075
456	4.55000	6.369
457	4.56000	6.552
458	4.57000	6.616
459	4.58000	6.579
460	4.59000	6.262
461	4.60000	5.752
462	4.61000	5.267
463	4.62000	4.992
464	4.63000	4.714
465	4.64000	4.793
466	4.65000	5.055
467	4.66000	4.982
468	4.67000	4.947
469	4.68000	4.808
470	4.69000	4.269
471	4.70000	3.593
472	4.71000	2.847
473	4.72000	2.169
474	4.73000	1.547
475	4.74000	1.215
476	4.75000	1.148
477	4.76000	1.246
478	4.77000	1.756
479	4.78000	2.293
480	4.79000	2.885
481	4.80000	3.509
482	4.81000	3.797
483	4.82000	3.883
484	4.83000	3.873
485	4.84000	3.500
486	4.85000	2.666
487	4.86000	1.615
488	4.87000	0.538
489	4.88000	-0.601
490	4.89000	-1.704
491	4.90000	-2.858
492	4.91000	-3.910
493	4.92000	-4.505
494	4.93000	-4.582
495	4.94000	-4.414
496	4.95000	-4.261
497	4.96000	-4.160
498	4.97000	-4.410
499	4.98000	-5.167
500	4.99000	-6.279
501	5.00000	-7.582
502	5.01000	-8.674
503	5.02000	-9.186
504	5.03000	-9.156
505	5.04000	-8.875
506	5.05000	-8.760
507	5.06000	-8.671
508	5.07000	-9.977
509	5.08000	-12.940
510	5.09000	-15.862
511	5.10000	-18.478
512	5.11000	-20.367
513	5.12000	-21.246
514	5.13000	-21.515
515	5.14000	-21.445
516	5.15000	-21.421
517	5.16000	-21.793
518	5.17000	-23.751
