NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:30:55
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KR_Angular_Acceleration

Frame	Time	KR_Angular_Acceleration	
607	6.06000	570.803
608	6.07000	666.172
609	6.08000	713.904
610	6.09000	785.777
611	6.10000	755.506
612	6.11000	690.494
613	6.12000	536.507
614	6.13000	367.968
615	6.14000	210.618
616	6.15000	51.493
617	6.16000	-108.663
618	6.17000	-217.373
619	6.18000	-278.138
620	6.19000	-267.365
621	6.20000	-301.433
622	6.21000	-265.847
623	6.22000	-320.728
624	6.23000	-323.708
625	6.24000	-307.051
626	6.25000	-234.394
627	6.26000	-201.347
628	6.27000	-73.986
629	6.28000	31.490
630	6.29000	143.851
631	6.30000	248.013
632	6.31000	314.758
633	6.32000	268.144
634	6.33000	225.229
635	6.34000	210.651
636	6.35000	183.699
637	6.36000	150.837
638	6.37000	142.174
639	6.38000	104.997
640	6.39000	80.907
641	6.40000	34.734
642	6.41000	-34.945
643	6.42000	-120.023
644	6.43000	-195.630
645	6.44000	-148.803
646	6.45000	-153.733
647	6.46000	-91.825
648	6.47000	-48.574
649	6.48000	-17.322
650	6.49000	3.613
651	6.50000	40.293
652	6.51000	20.329
653	6.52000	3.691
654	6.53000	-48.029
655	6.54000	-15.813
656	6.55000	-23.926
657	6.56000	-3.290
658	6.57000	-12.186
659	6.58000	24.059
660	6.59000	36.862
661	6.60000	41.784
662	6.61000	25.038
663	6.62000	8.641
664	6.63000	-16.296
665	6.64000	-4.319
666	6.65000	-14.547
667	6.66000	-13.294
668	6.67000	-28.641
669	6.68000	22.329
670	6.69000	11.757
671	6.70000	-18.474
672	6.71000	-20.579
673	6.72000	-23.947
674	6.73000	-6.407
675	6.74000	-4.578
676	6.75000	39.612
677	6.76000	28.941
678	6.77000	39.056
679	6.78000	41.581
680	6.79000	10.453
681	6.80000	-8.121
682	6.81000	20.129
683	6.82000	15.776
684	6.83000	23.642
685	6.84000	21.612
686	6.85000	45.574
687	6.86000	31.614
688	6.87000	2.406
689	6.88000	-6.596
690	6.89000	-32.741
691	6.90000	-31.195
692	6.91000	-10.221
693	6.92000	-23.073
694	6.93000	-19.660
695	6.94000	-9.930
696	6.95000	11.932
697	6.96000	21.497
698	6.97000	3.945
699	6.98000	47.252
700	6.99000	0.368
701	7.00000	19.908
702	7.01000	48.028
703	7.02000	68.172
704	7.03000	43.639
705	7.04000	82.029
706	7.05000	40.849
707	7.06000	82.007
708	7.07000	76.007
709	7.08000	130.249
710	7.09000	127.626
711	7.10000	149.998
712	7.11000	130.108
713	7.12000	244.868
714	7.13000	124.080
715	7.14000	118.209
716	7.15000	44.819
717	7.16000	78.701
718	7.17000	49.019
719	7.18000	110.756
720	7.19000	110.769
721	7.20000	162.284
722	7.21000	208.446
723	7.22000	334.902
724	7.23000	278.929
725	7.24000	307.844
726	7.25000	355.462
727	7.26000	349.053
728	7.27000	330.853
729	7.28000	353.563
730	7.29000	323.122
731	7.30000	367.906
732	7.31000	346.410
733	7.32000	341.968
734	7.33000	347.642
735	7.34000	344.952
736	7.35000	396.752
737	7.36000	365.861
738	7.37000	318.357
739	7.38000	316.895
740	7.39000	242.929
741	7.40000	238.291
742	7.41000	264.157
743	7.42000	267.113
744	7.43000	250.511
745	7.44000	285.107
746	7.45000	277.924
747	7.46000	220.070
748	7.47000	173.487
749	7.48000	84.309
750	7.49000	15.896
751	7.50000	-1.492
752	7.51000	170.358
753	7.52000	176.649
754	7.53000	163.966
755	7.54000	198.687
756	7.55000	114.308
757	7.56000	130.631
758	7.57000	87.073
759	7.58000	9.654
760	7.59000	-51.422
761	7.60000	-99.840
762	7.61000	86.859
763	7.62000	40.363
764	7.63000	59.434
765	7.64000	56.250
766	7.65000	5.056
767	7.66000	63.376
768	7.67000	45.969
769	7.68000	62.770
770	7.69000	10.304
771	7.70000	-1.447
772	7.71000	99.303
773	7.72000	53.665
774	7.73000	67.997
775	7.74000	15.139
776	7.75000	-66.630
777	7.76000	-78.098
778	7.77000	-107.759
779	7.78000	-167.113
780	7.79000	-160.079
781	7.80000	-199.839
782	7.81000	-128.634
783	7.82000	-185.553
784	7.83000	-199.337
785	7.84000	-218.035
786	7.85000	-381.580
787	7.86000	-435.765
788	7.87000	-489.195
789	7.88000	-559.698
790	7.89000	-492.195
791	7.90000	-457.817
792	7.91000	-364.726
793	7.92000	-377.047
794	7.93000	-330.636
795	7.94000	-299.284
796	7.95000	-374.672
797	7.96000	-415.275
798	7.97000	-410.720
799	7.98000	-485.164
800	7.99000	-390.654
