NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:20:54
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KR_Angular_Acceleration_pre_post

Frame	Time	KR_Angular_Acceleration_pre_post	
667	6.66000	161.844
668	6.67000	154.239
669	6.68000	146.745
670	6.69000	130.724
671	6.70000	117.353
672	6.71000	106.294
673	6.72000	97.925
674	6.73000	104.657
675	6.74000	120.103
676	6.75000	142.205
677	6.76000	172.428
678	6.77000	198.182
679	6.78000	208.124
680	6.79000	203.003
681	6.80000	198.185
682	6.81000	203.112
683	6.82000	206.254
684	6.83000	226.171
685	6.84000	245.724
686	6.85000	261.789
687	6.86000	270.857
688	6.87000	271.123
689	6.88000	254.503
690	6.89000	236.335
691	6.90000	229.142
692	6.91000	245.743
693	6.92000	273.902
694	6.93000	345.765
695	6.94000	431.962
696	6.95000	523.588
697	6.96000	600.992
698	6.97000	655.492
699	6.98000	663.420
700	6.99000	622.258
701	7.00000	520.216
702	7.01000	368.014
703	7.02000	187.155
704	7.03000	14.030
705	7.04000	-148.931
706	7.05000	-277.412
707	7.06000	-361.630
708	7.07000	-394.678
709	7.08000	-381.796
710	7.09000	-335.953
711	7.10000	-282.773
712	7.11000	-221.596
713	7.12000	-154.705
714	7.13000	-86.400
715	7.14000	-27.359
716	7.15000	20.227
717	7.16000	60.135
718	7.17000	85.537
719	7.18000	102.082
720	7.19000	96.596
721	7.20000	78.436
722	7.21000	52.642
723	7.22000	29.399
724	7.23000	18.423
725	7.24000	11.043
726	7.25000	11.673
727	7.26000	19.305
728	7.27000	22.371
729	7.28000	21.196
730	7.29000	4.530
731	7.30000	-12.546
732	7.31000	-34.327
733	7.32000	-48.367
734	7.33000	-52.146
735	7.34000	-47.896
736	7.35000	-26.175
737	7.36000	-1.434
738	7.37000	27.579
739	7.38000	55.299
740	7.39000	76.686
741	7.40000	94.881
742	7.41000	107.447
743	7.42000	111.043
744	7.43000	106.591
745	7.44000	101.948
746	7.45000	105.703
747	7.46000	95.695
748	7.47000	89.227
749	7.48000	81.797
750	7.49000	75.154
751	7.50000	66.174
752	7.51000	58.498
753	7.52000	39.667
754	7.53000	22.376
755	7.54000	14.391
756	7.55000	15.288
757	7.56000	-0.514
758	7.57000	-4.205
759	7.58000	1.769
760	7.59000	12.469
761	7.60000	24.690
762	7.61000	40.918
763	7.62000	45.656
764	7.63000	49.850
765	7.64000	49.402
766	7.65000	37.798
767	7.66000	5.888
768	7.67000	-21.780
769	7.68000	-46.256
770	7.69000	-70.203
771	7.70000	-83.826
772	7.71000	-82.064
773	7.72000	-71.372
774	7.73000	-53.252
775	7.74000	-34.724
776	7.75000	-17.995
777	7.76000	-10.686
778	7.77000	-9.751
779	7.78000	-20.360
780	7.79000	-32.285
781	7.80000	-42.447
782	7.81000	-36.329
783	7.82000	-21.702
784	7.83000	-4.368
785	7.84000	20.334
786	7.85000	48.340
787	7.86000	68.428
788	7.87000	81.125
789	7.88000	81.901
790	7.89000	78.789
791	7.90000	61.758
792	7.91000	47.192
793	7.92000	24.869
794	7.93000	3.585
795	7.94000	-6.293
796	7.95000	-9.928
797	7.96000	-9.372
798	7.97000	-0.390
799	7.98000	6.722
800	7.99000	10.247
801	8.00000	9.362
802	8.01000	0.491
803	8.02000	-13.466
804	8.03000	-23.138
805	8.04000	-25.447
806	8.05000	-23.364
807	8.06000	-8.742
808	8.07000	9.851
809	8.08000	28.170
810	8.09000	45.895
811	8.10000	66.358
812	8.11000	74.975
813	8.12000	93.908
814	8.13000	117.340
815	8.14000	136.967
816	8.15000	155.308
817	8.16000	179.516
818	8.17000	184.942
819	8.18000	173.302
820	8.19000	138.150
821	8.20000	90.343
822	8.21000	39.778
823	8.22000	1.859
824	8.23000	-32.956
825	8.24000	-62.349
826	8.25000	-66.460
827	8.26000	-54.274
828	8.27000	-28.126
829	8.28000	13.653
830	8.29000	68.833
831	8.30000	136.688
832	8.31000	219.495
833	8.32000	296.274
834	8.33000	359.710
835	8.34000	403.600
836	8.35000	435.642
837	8.36000	432.336
838	8.37000	424.841
839	8.38000	411.246
840	8.39000	399.192
841	8.40000	380.466
842	8.41000	370.084
843	8.42000	358.146
844	8.43000	348.939
845	8.44000	341.345
846	8.45000	335.388
847	8.46000	328.713
848	8.47000	331.921
849	8.48000	341.170
850	8.49000	354.959
851	8.50000	368.697
852	8.51000	386.140
853	8.52000	403.114
854	8.53000	421.078
855	8.54000	424.591
856	8.55000	428.899
857	8.56000	430.635
858	8.57000	407.466
859	8.58000	374.416
860	8.59000	326.337
861	8.60000	269.614
862	8.61000	203.940
863	8.62000	151.340
864	8.63000	112.186
865	8.64000	64.302
866	8.65000	53.727
867	8.66000	34.778
868	8.67000	11.233
869	8.68000	-4.771
870	8.69000	-27.493
871	8.70000	-52.509
872	8.71000	-65.719
873	8.72000	-61.810
874	8.73000	-50.009
875	8.74000	-34.979
876	8.75000	7.540
877	8.76000	40.736
878	8.77000	80.802
879	8.78000	120.272
880	8.79000	134.595
881	8.80000	123.844
882	8.81000	88.724
883	8.82000	26.501
884	8.83000	-51.236
885	8.84000	-124.725
886	8.85000	-182.920
887	8.86000	-226.458
888	8.87000	-263.184
889	8.88000	-300.688
890	8.89000	-363.618
891	8.90000	-454.235
892	8.91000	-557.016
893	8.92000	-681.056
894	8.93000	-772.284
895	8.94000	-800.526
896	8.95000	-773.516
897	8.96000	-699.672
898	8.97000	-598.561
899	8.98000	-507.707
900	8.99000	-446.189
901	9.00000	-421.441
902	9.01000	-439.779
903	9.02000	-530.907
904	9.03000	-582.145
905	9.04000	-581.520
906	9.05000	-556.791
907	9.06000	-499.763
908	9.07000	-403.455
909	9.08000	-269.641
910	9.09000	-156.798
911	9.10000	-68.994
912	9.11000	-38.273
913	9.12000	-44.128
914	9.13000	-36.606
915	9.14000	-21.973
916	9.15000	-27.450
917	9.16000	-28.963
918	9.17000	9.683
919	9.18000	94.637
920	9.19000	104.726
921	9.20000	89.423
922	9.21000	36.444
923	9.22000	-13.881
924	9.23000	-54.718
925	9.24000	-79.543
926	9.25000	-118.729
927	9.26000	-181.980
928	9.27000	-236.724
929	9.28000	-273.369
930	9.29000	-314.134
931	9.30000	-317.032
932	9.31000	-277.318
933	9.32000	-163.684
934	9.33000	22.848
935	9.34000	226.582
936	9.35000	363.002
937	9.36000	377.641
938	9.37000	309.025
939	9.38000	197.925
940	9.39000	73.841
941	9.40000	-61.826
942	9.41000	-166.850
943	9.42000	-214.094
944	9.43000	-186.370
945	9.44000	-118.626
946	9.45000	-60.221
947	9.46000	-27.169
948	9.47000	-5.610
949	9.48000	7.670
950	9.49000	6.485
951	9.50000	-19.381
952	9.51000	-53.435
953	9.52000	-95.609
954	9.53000	-113.435
955	9.54000	-117.444
956	9.55000	-106.340
957	9.56000	-83.688
958	9.57000	-56.537
959	9.58000	-23.717
960	9.59000	15.008
961	9.60000	41.594
962	9.61000	64.871
963	9.62000	71.699
964	9.63000	78.952
965	9.64000	71.758
966	9.65000	61.909
967	9.66000	39.224
968	9.67000	8.804
969	9.68000	-19.184
970	9.69000	-35.713
971	9.70000	-51.866
972	9.71000	-51.600
973	9.72000	-46.836
974	9.73000	-26.852
975	9.74000	-4.712
976	9.75000	15.659
977	9.76000	25.009
978	9.77000	27.183
979	9.78000	25.018
980	9.79000	20.288
981	9.80000	3.663
982	9.81000	-11.837
983	9.82000	-29.718
984	9.83000	-38.984
985	9.84000	-46.585
986	9.85000	-55.915
987	9.86000	-55.608
988	9.87000	-46.739
989	9.88000	-28.633
990	9.89000	-0.643
991	9.90000	22.797
992	9.91000	45.565
993	9.92000	62.504
994	9.93000	74.650
995	9.94000	81.088
996	9.95000	82.144
997	9.96000	77.818
998	9.97000	68.110
999	9.98000	53.020
1000	9.99000	0.000
