NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	30
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:35:44
DATA_INCLUDED	Position
DATA_TYPES	LR_pos_X	LR_pos_Y	LR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z

Frame	Time	LR_pos_X	LR_pos_Y	LR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	
34	0.33000	200.098	-150.726	109.260	234.095	-198.582	1038.431	201.684	-170.091	1660.551	260.039	-137.199	590.715	178.472	199.499	106.410	208.250	219.514	1048.178	458.441	-168.982	38.679	436.395	218.321	38.701	181.771	177.218	1674.233	260.082	182.619	587.946
35	0.34000	200.096	-150.717	109.276	234.063	-198.486	1038.453	201.478	-169.924	1660.598	260.072	-137.149	590.738	178.500	199.529	106.410	208.389	219.605	1048.179	458.444	-169.000	38.697	436.409	218.331	38.656	181.735	177.363	1674.187	260.136	182.660	587.971
36	0.35000	200.093	-150.688	109.266	234.028	-198.384	1038.478	201.317	-169.758	1660.613	260.125	-137.111	590.731	178.527	199.511	106.416	208.546	219.705	1048.200	458.433	-168.990	38.683	436.413	218.328	38.615	181.692	177.515	1674.272	260.180	182.641	587.974
37	0.36000	200.091	-150.678	109.286	233.999	-198.248	1038.466	201.160	-169.562	1660.611	260.166	-137.027	590.731	178.549	199.494	106.410	208.701	219.871	1048.224	458.451	-168.992	38.667	436.431	218.341	38.596	181.665	177.627	1674.306	260.181	182.667	587.968
38	0.37000	200.107	-150.645	109.289	233.981	-198.131	1038.479	201.013	-169.382	1660.640	260.205	-136.974	590.729	178.559	199.485	106.406	208.825	219.964	1048.200	458.446	-168.998	38.650	436.430	218.326	38.607	181.620	177.751	1674.294	260.168	182.680	587.980
39	0.38000	200.155	-150.625	109.291	233.937	-197.986	1038.471	200.837	-169.198	1660.668	260.152	-138.141	591.322	178.552	199.455	106.374	208.952	220.071	1048.194	458.461	-168.993	38.631	436.420	218.343	38.631	181.572	177.898	1674.298	260.178	182.681	587.938
40	0.39000	200.165	-150.636	109.323	233.918	-197.875	1038.486	200.690	-168.989	1660.666	260.197	-138.098	591.360	178.548	199.475	106.399	209.076	220.220	1048.174	458.457	-169.003	38.599	436.406	218.324	38.672	181.549	178.021	1674.287	260.196	182.721	587.913
41	0.40000	200.175	-150.609	109.319	233.898	-197.763	1038.525	200.481	-168.799	1660.676	260.191	-137.991	591.339	178.508	199.478	106.372	209.221	220.335	1048.133	458.465	-169.009	38.592	436.395	218.332	38.729	181.493	178.169	1674.235	260.212	182.785	587.919
42	0.41000	200.207	-150.581	109.334	233.907	-197.661	1038.545	200.264	-168.599	1660.684	260.284	-136.661	590.769	178.455	199.482	106.356	209.332	220.462	1048.143	458.475	-169.014	38.582	436.382	218.322	38.805	181.414	178.307	1674.221	260.242	182.835	587.875
43	0.42000	200.197	-150.596	109.340	233.921	-197.548	1038.533	200.022	-168.388	1660.644	260.141	-137.834	591.418	178.413	199.497	106.344	209.441	220.558	1048.117	458.472	-168.986	38.569	436.360	218.323	38.876	181.292	178.480	1674.190	260.273	182.894	587.848
