NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:19:18
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity_pre_post

Frame	Time	KR_Angular_Velocity_pre_post	
824	8.23000	18.451
825	8.24000	17.974
826	8.25000	17.330
827	8.26000	16.727
828	8.27000	16.315
829	8.28000	16.242
830	8.29000	16.655
831	8.30000	17.682
832	8.31000	19.463
833	8.32000	22.042
834	8.33000	25.322
835	8.34000	29.138
836	8.35000	33.335
837	8.36000	37.675
838	8.37000	41.960
839	8.38000	46.141
840	8.39000	50.193
841	8.40000	54.091
842	8.41000	57.844
843	8.42000	61.485
844	8.43000	65.021
845	8.44000	68.472
846	8.45000	71.856
847	8.46000	75.176
848	8.47000	78.479
849	8.48000	81.845
850	8.49000	85.326
851	8.50000	88.944
852	8.51000	92.718
853	8.52000	96.664
854	8.53000	100.785
855	8.54000	105.014
856	8.55000	109.281
857	8.56000	113.579
858	8.57000	117.769
859	8.58000	121.679
860	8.59000	125.182
861	8.60000	128.162
862	8.61000	130.530
863	8.62000	132.306
864	8.63000	133.624
865	8.64000	134.506
866	8.65000	135.097
867	8.66000	135.539
868	8.67000	135.769
869	8.68000	135.801
870	8.69000	135.640
871	8.70000	135.240
872	8.71000	134.649
873	8.72000	134.011
874	8.73000	133.452
875	8.74000	133.027
876	8.75000	132.890
877	8.76000	133.131
878	8.77000	133.739
879	8.78000	134.744
880	8.79000	136.019
881	8.80000	137.311
882	8.81000	138.374
883	8.82000	138.950
884	8.83000	138.826
885	8.84000	137.947
886	8.85000	136.408
887	8.86000	134.361
888	8.87000	131.913
889	8.88000	129.094
890	8.89000	125.772
891	8.90000	121.683
892	8.91000	116.627
893	8.92000	110.436
894	8.93000	103.170
895	8.94000	95.306
896	8.95000	87.435
897	8.96000	80.070
898	8.97000	73.578
899	8.98000	68.047
900	8.99000	63.278
901	9.00000	58.939
902	9.01000	54.633
903	9.02000	49.780
904	9.03000	44.215
905	9.04000	38.396
906	9.05000	32.705
907	9.06000	27.422
908	9.07000	22.906
909	9.08000	19.540
910	9.09000	17.408
911	9.10000	16.279
912	9.11000	15.743
913	9.12000	15.331
914	9.13000	14.927
915	9.14000	14.634
916	9.15000	14.387
917	9.16000	14.105
918	9.17000	14.009
919	9.18000	14.530
920	9.19000	15.527
921	9.20000	16.498
922	9.21000	17.127
923	9.22000	17.240
924	9.23000	16.897
925	9.24000	16.226
926	9.25000	15.234
927	9.26000	13.731
928	9.27000	11.637
929	9.28000	9.087
930	9.29000	6.149
931	9.30000	2.994
932	9.31000	0.022
933	9.32000	-2.183
934	9.33000	-2.887
935	9.34000	-1.640
936	9.35000	1.308
937	9.36000	5.011
938	9.37000	8.444
939	9.38000	10.979
940	9.39000	12.338
941	9.40000	12.398
942	9.41000	11.254
943	9.42000	9.350
944	9.43000	7.347
945	9.44000	5.822
946	9.45000	4.928
947	9.46000	4.491
948	9.47000	4.327
949	9.48000	4.338
950	9.49000	4.408
951	9.50000	4.344
952	9.51000	3.980
953	9.52000	3.235
954	9.53000	2.189
955	9.54000	1.035
956	9.55000	-0.084
957	9.56000	-1.034
958	9.57000	-1.735
959	9.58000	-2.136
960	9.59000	-2.180
961	9.60000	-1.897
962	9.61000	-1.365
963	9.62000	-0.682
964	9.63000	0.071
965	9.64000	0.825
966	9.65000	1.493
967	9.66000	1.999
968	9.67000	2.239
969	9.68000	2.187
970	9.69000	1.913
971	9.70000	1.475
972	9.71000	0.958
973	9.72000	0.465
974	9.73000	0.097
975	9.74000	-0.061
976	9.75000	-0.006
977	9.76000	0.197
978	9.77000	0.458
979	9.78000	0.719
980	9.79000	0.946
981	9.80000	1.065
