NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:36:56
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	HL_Angular_Acceleration

Frame	Time	HL_Angular_Acceleration	
375	3.74000	221.079
376	3.75000	233.859
377	3.76000	255.956
378	3.77000	218.952
379	3.78000	171.920
380	3.79000	89.498
381	3.80000	128.397
382	3.81000	110.294
383	3.82000	132.232
384	3.83000	189.414
385	3.84000	225.726
386	3.85000	239.211
387	3.86000	260.041
388	3.87000	219.184
389	3.88000	172.471
390	3.89000	160.218
391	3.90000	153.571
392	3.91000	143.469
393	3.92000	159.947
394	3.93000	155.883
395	3.94000	139.644
396	3.95000	96.906
397	3.96000	227.462
398	3.97000	242.098
399	3.98000	246.602
400	3.99000	306.629
401	4.00000	315.348
402	4.01000	355.888
403	4.02000	354.383
404	4.03000	346.161
405	4.04000	316.901
406	4.05000	296.554
407	4.06000	350.420
408	4.07000	296.539
409	4.08000	198.766
410	4.09000	117.102
411	4.10000	-6.704
412	4.11000	-18.413
413	4.12000	-73.179
414	4.13000	-207.684
415	4.14000	-252.221
416	4.15000	-246.420
417	4.16000	-215.009
418	4.17000	-154.056
419	4.18000	-131.720
420	4.19000	-86.942
421	4.20000	2.478
422	4.21000	129.253
423	4.22000	117.403
424	4.23000	30.228
425	4.24000	61.492
426	4.25000	25.171
427	4.26000	-18.766
428	4.27000	-38.038
429	4.28000	-29.478
430	4.29000	1.644
431	4.30000	100.198
432	4.31000	173.149
433	4.32000	228.524
434	4.33000	244.083
435	4.34000	232.133
436	4.35000	203.413
437	4.36000	130.755
438	4.37000	88.441
439	4.38000	15.468
440	4.39000	-43.655
441	4.40000	-62.145
442	4.41000	-73.397
443	4.42000	-101.225
444	4.43000	-206.322
445	4.44000	-40.113
446	4.45000	-150.983
447	4.46000	-160.372
448	4.47000	-152.060
449	4.48000	-162.191
450	4.49000	-152.925
451	4.50000	-96.007
452	4.51000	-52.574
453	4.52000	-48.048
454	4.53000	-35.981
455	4.54000	115.648
456	4.55000	-44.552
457	4.56000	-25.193
458	4.57000	-24.618
459	4.58000	-22.668
460	4.59000	-2.449
461	4.60000	35.884
462	4.61000	59.797
463	4.62000	66.615
464	4.63000	80.724
465	4.64000	88.878
466	4.65000	70.954
467	4.66000	29.175
468	4.67000	2.945
469	4.68000	-32.336
470	4.69000	-56.404
471	4.70000	-80.192
472	4.71000	-84.440
473	4.72000	-75.843
474	4.73000	-75.438
475	4.74000	-36.768
476	4.75000	-29.439
477	4.76000	-2.695
478	4.77000	-16.169
479	4.78000	-39.259
480	4.79000	-45.667
481	4.80000	-68.933
482	4.81000	-73.845
483	4.82000	-62.592
484	4.83000	-83.591
485	4.84000	-46.259
486	4.85000	-16.201
487	4.86000	3.028
488	4.87000	-7.889
489	4.88000	-26.516
490	4.89000	-33.059
491	4.90000	-56.543
492	4.91000	-50.686
493	4.92000	-66.398
494	4.93000	-77.871
495	4.94000	-49.033
496	4.95000	-23.882
497	4.96000	-62.514
498	4.97000	-60.714
499	4.98000	-87.523
500	4.99000	-83.540
501	5.00000	-104.339
502	5.01000	-94.713
503	5.02000	-143.692
504	5.03000	-128.442
505	5.04000	-158.275
506	5.05000	-166.744
507	5.06000	-247.581
508	5.07000	-207.415
509	5.08000	-284.085
510	5.09000	-261.401
511	5.10000	-298.645
512	5.11000	-320.409
513	5.12000	-341.821
514	5.13000	-328.249
515	5.14000	-367.592
516	5.15000	-354.760
517	5.16000	-320.489
518	5.17000	-262.619
519	5.18000	-257.691
520	5.19000	-86.339
521	5.20000	32.813
522	5.21000	186.457
523	5.22000	310.438
524	5.23000	456.674
525	5.24000	505.053
526	5.25000	577.081
527	5.26000	634.096
528	5.27000	651.855
529	5.28000	694.667
530	5.29000	787.482
531	5.30000	822.274
532	5.31000	816.506
533	5.32000	720.631
534	5.33000	648.139
535	5.34000	460.196
536	5.35000	371.936
537	5.36000	174.461
538	5.37000	96.202
539	5.38000	23.758
540	5.39000	33.009
541	5.40000	61.816
542	5.41000	114.590
543	5.42000	167.475
544	5.43000	208.174
545	5.44000	204.840
546	5.45000	223.020
547	5.46000	151.178
548	5.47000	138.594
549	5.48000	105.670
550	5.49000	68.815
551	5.50000	73.738
552	5.51000	105.107
553	5.52000	129.890
554	5.53000	104.650
555	5.54000	52.190
556	5.55000	66.075
557	5.56000	62.565
558	5.57000	67.528
559	5.58000	111.325
560	5.59000	85.479
561	5.60000	88.728
562	5.61000	85.040
563	5.62000	108.440
564	5.63000	118.052
565	5.64000	140.313
566	5.65000	162.043
567	5.66000	162.586
568	5.67000	213.713
569	5.68000	262.964
570	5.69000	262.386
571	5.70000	222.773
572	5.71000	166.931
573	5.72000	158.972
574	5.73000	127.915
575	5.74000	102.707
576	5.75000	28.594
577	5.76000	45.949
578	5.77000	69.975
579	5.78000	94.100
580	5.79000	144.048
581	5.80000	117.438
582	5.81000	127.368
583	5.82000	124.110
584	5.83000	108.608
585	5.84000	65.180
586	5.85000	-0.785
587	5.86000	29.785
588	5.87000	-19.152
589	5.88000	27.137
590	5.89000	73.751
591	5.90000	42.530
592	5.91000	93.939
593	5.92000	72.893
594	5.93000	63.263
595	5.94000	75.925
596	5.95000	-31.858
597	5.96000	-18.367
598	5.97000	-76.733
599	5.98000	81.531
600	5.99000	-9.033
601	6.00000	-42.425
602	6.01000	-56.751
603	6.02000	-141.033
604	6.03000	-123.425
605	6.04000	-104.300
606	6.05000	-175.791
607	6.06000	-121.641
608	6.07000	-90.084
609	6.08000	-0.498
610	6.09000	-114.439
611	6.10000	-127.556
612	6.11000	-205.158
613	6.12000	-291.804
614	6.13000	-256.730
615	6.14000	-253.147
616	6.15000	-220.630
617	6.16000	-47.788
618	6.17000	-10.246
619	6.18000	-81.757
620	6.19000	-82.335
621	6.20000	-179.398
622	6.21000	-238.370
623	6.22000	-298.644
624	6.23000	-281.831
625	6.24000	-199.544
626	6.25000	-42.324
627	6.26000	187.008
628	6.27000	217.679
629	6.28000	191.441
630	6.29000	275.953
631	6.30000	137.249
632	6.31000	146.116
633	6.32000	108.360
634	6.33000	35.055
635	6.34000	-45.410
636	6.35000	-16.931
637	6.36000	30.351
638	6.37000	85.629
639	6.38000	127.394
640	6.39000	168.926
641	6.40000	115.625
642	6.41000	151.131
643	6.42000	107.172
644	6.43000	-63.808
645	6.44000	-232.796
646	6.45000	-348.212
647	6.46000	-396.407
648	6.47000	-393.556
649	6.48000	-353.457
650	6.49000	-325.304
651	6.50000	-277.970
652	6.51000	-268.276
653	6.52000	-273.903
654	6.53000	-275.587
655	6.54000	-319.003
656	6.55000	-379.740
657	6.56000	-376.930
658	6.57000	-344.665
659	6.58000	-271.289
660	6.59000	-229.583
661	6.60000	-193.448
662	6.61000	-278.465
663	6.62000	-307.921
664	6.63000	-334.829
665	6.64000	-422.925
666	6.65000	-478.307
667	6.66000	-495.170
668	6.67000	-428.017
669	6.68000	-318.295
670	6.69000	-209.604
671	6.70000	-54.011
672	6.71000	27.332
673	6.72000	109.993
674	6.73000	171.001
675	6.74000	124.600
676	6.75000	60.172
677	6.76000	-7.337
678	6.77000	-43.298
679	6.78000	-135.738
680	6.79000	-184.018
681	6.80000	-139.915
682	6.81000	-116.791
683	6.82000	-116.057
684	6.83000	-46.293
685	6.84000	-14.435
686	6.85000	41.460
687	6.86000	105.963
688	6.87000	156.455
689	6.88000	124.199
690	6.89000	95.394
691	6.90000	83.130
692	6.91000	37.642
693	6.92000	-54.668
694	6.93000	-54.955
695	6.94000	-55.227
696	6.95000	-54.626
697	6.96000	-44.085
698	6.97000	-38.352
699	6.98000	-56.364
700	6.99000	-84.935
701	7.00000	-74.931
702	7.01000	-59.690
703	7.02000	-46.181
704	7.03000	72.293
705	7.04000	74.812
706	7.05000	98.576
707	7.06000	76.403
708	7.07000	50.657
709	7.08000	-5.893
710	7.09000	-19.425
711	7.10000	-10.699
712	7.11000	-1.706
713	7.12000	48.129
714	7.13000	109.565
715	7.14000	159.035
716	7.15000	191.180
717	7.16000	216.845
718	7.17000	235.805
719	7.18000	204.808
720	7.19000	200.691
721	7.20000	120.296
722	7.21000	24.900
723	7.22000	-106.999
724	7.23000	-265.602
725	7.24000	-426.826
726	7.25000	-693.425
727	7.26000	-856.523
728	7.27000	-1232.355
729	7.28000	-1471.498
730	7.29000	-1533.481
731	7.30000	-1521.774
732	7.31000	-1386.678
733	7.32000	-1178.570
734	7.33000	-915.065
735	7.34000	-649.990
736	7.35000	-397.954
737	7.36000	-195.891
738	7.37000	-187.142
739	7.38000	-56.000
740	7.39000	68.800
741	7.40000	188.612
742	7.41000	281.062
743	7.42000	395.713
744	7.43000	461.518
745	7.44000	491.139
746	7.45000	518.676
747	7.46000	484.963
748	7.47000	415.655
749	7.48000	315.761
750	7.49000	209.423
751	7.50000	156.735
752	7.51000	42.286
753	7.52000	-28.372
754	7.53000	-138.340
755	7.54000	-194.614
756	7.55000	-294.158
757	7.56000	-304.915
758	7.57000	-331.962
759	7.58000	-234.773
760	7.59000	-165.202
761	7.60000	-57.666
762	7.61000	-4.112
763	7.62000	0.504
764	7.63000	-43.740
765	7.64000	-110.887
766	7.65000	-248.086
767	7.66000	-282.809
768	7.67000	-290.795
769	7.68000	-231.052
770	7.69000	-186.248
771	7.70000	-68.930
772	7.71000	47.318
773	7.72000	119.518
774	7.73000	203.911
775	7.74000	262.651
776	7.75000	320.399
777	7.76000	358.105
778	7.77000	381.972
779	7.78000	319.900
780	7.79000	238.857
781	7.80000	154.175
782	7.81000	96.581
783	7.82000	44.918
784	7.83000	44.253
785	7.84000	91.920
786	7.85000	157.349
787	7.86000	226.839
788	7.87000	278.859
789	7.88000	328.456
790	7.89000	373.624
791	7.90000	372.734
792	7.91000	354.084
793	7.92000	249.641
794	7.93000	105.289
795	7.94000	32.330
796	7.95000	-58.300
797	7.96000	-54.968
798	7.97000	-29.810
799	7.98000	79.357
800	7.99000	250.192
801	8.00000	450.031
802	8.01000	610.118
803	8.02000	726.488
804	8.03000	751.973
805	8.04000	742.715
806	8.05000	587.484
807	8.06000	358.103
808	8.07000	20.678
809	8.08000	-324.100
810	8.09000	-509.441
811	8.10000	-534.250
812	8.11000	-413.273
813	8.12000	-185.474
814	8.13000	34.150
815	8.14000	251.272
816	8.15000	388.608
817	8.16000	500.768
818	8.17000	600.803
819	8.18000	675.816
820	8.19000	855.925
821	8.20000	1053.679
822	8.21000	1239.768
823	8.22000	1310.464
824	8.23000	1326.072
825	8.24000	1296.492
826	8.25000	1296.093
827	8.26000	1309.459
828	8.27000	1326.279
829	8.28000	1355.339
830	8.29000	1385.430
831	8.30000	1329.431
832	8.31000	1108.973
833	8.32000	774.160
834	8.33000	411.793
835	8.34000	113.486
836	8.35000	-141.217
837	8.36000	-436.511
838	8.37000	-613.742
839	8.38000	-623.157
840	8.39000	-572.255
841	8.40000	-453.540
842	8.41000	-381.703
843	8.42000	34.378
844	8.43000	505.840
845	8.44000	-544.889
846	8.45000	-1886.349
847	8.46000	-2789.335
848	8.47000	-3114.273
849	8.48000	-2928.177
850	8.49000	-2299.200
851	8.50000	-1125.786
852	8.51000	278.542
853	8.52000	1714.060
854	8.53000	2595.664
855	8.54000	1735.777
856	8.55000	1043.623
857	8.56000	621.104
858	8.57000	213.861
859	8.58000	-191.227
860	8.59000	-427.227
861	8.60000	-386.296
862	8.61000	-321.186
863	8.62000	-243.470
864	8.63000	11.419
865	8.64000	177.521
866	8.65000	327.709
867	8.66000	409.052
868	8.67000	348.165
869	8.68000	233.259
870	8.69000	106.600
871	8.70000	85.736
872	8.71000	111.466
873	8.72000	160.447
874	8.73000	156.210
875	8.74000	80.412
876	8.75000	-39.582
877	8.76000	-201.112
878	8.77000	-347.406
879	8.78000	-475.397
880	8.79000	-590.941
881	8.80000	-611.232
882	8.81000	-587.711
883	8.82000	-532.265
884	8.83000	-433.792
885	8.84000	-358.146
886	8.85000	-271.429
887	8.86000	-185.576
888	8.87000	-118.387
889	8.88000	-96.640
890	8.89000	-94.730
891	8.90000	-122.284
892	8.91000	-199.167
893	8.92000	-240.659
894	8.93000	-232.994
895	8.94000	-223.798
896	8.95000	-201.817
897	8.96000	-108.685
898	8.97000	-76.193
899	8.98000	-26.059
900	8.99000	-5.847
901	9.00000	3.682
902	9.01000	-28.219
903	9.02000	4.812
904	9.03000	40.977
905	9.04000	69.356
906	9.05000	136.276
907	9.06000	176.452
908	9.07000	132.827
909	9.08000	106.334
910	9.09000	23.812
911	9.10000	-23.055
912	9.11000	-110.697
913	9.12000	-87.698
914	9.13000	-62.796
915	9.14000	-28.894
916	9.15000	20.200
917	9.16000	-9.410
918	9.17000	-134.973
919	9.18000	-351.618
920	9.19000	-671.484
921	9.20000	-990.010
922	9.21000	-1301.781
923	9.22000	-1465.437
924	9.23000	-1499.263
925	9.24000	-1384.949
926	9.25000	-1083.598
927	9.26000	-855.250
928	9.27000	-480.938
929	9.28000	-192.175
930	9.29000	91.131
931	9.30000	177.085
932	9.31000	177.211
933	9.32000	86.052
934	9.33000	37.575
935	9.34000	5.744
936	9.35000	5.296
937	9.36000	-80.037
938	9.37000	59.838
939	9.38000	67.666
940	9.39000	207.287
941	9.40000	64.283
942	9.41000	-7.625
943	9.42000	-97.278
944	9.43000	-152.400
945	9.44000	-190.975
946	9.45000	-232.278
947	9.46000	-211.519
948	9.47000	-147.552
949	9.48000	-100.278
950	9.49000	25.476
951	9.50000	31.056
952	9.51000	134.612
953	9.52000	215.497
954	9.53000	211.978
955	9.54000	208.010
956	9.55000	179.180
957	9.56000	175.485
958	9.57000	197.082
959	9.58000	206.347
960	9.59000	217.807
961	9.60000	158.218
962	9.61000	130.276
963	9.62000	15.490
964	9.63000	-83.998
965	9.64000	-94.358
966	9.65000	-84.978
967	9.66000	-28.910
968	9.67000	113.150
969	9.68000	219.589
970	9.69000	323.072
971	9.70000	351.398
972	9.71000	371.294
973	9.72000	279.086
974	9.73000	204.500
975	9.74000	150.034
976	9.75000	77.276
977	9.76000	33.686
978	9.77000	34.821
979	9.78000	48.893
980	9.79000	62.483
981	9.80000	98.328
982	9.81000	54.863
983	9.82000	7.245
984	9.83000	-88.928
985	9.84000	-146.347
986	9.85000	-213.036
987	9.86000	-236.861
988	9.87000	-227.712
989	9.88000	-203.590
990	9.89000	-122.485
991	9.90000	-48.042
992	9.91000	-29.851
993	9.92000	46.057
994	9.93000	64.229
995	9.94000	67.292
996	9.95000	54.328
997	9.96000	25.337
998	9.97000	-19.682
999	9.98000	-80.728
1000	9.99000	0.000
