NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:18:44
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity_pre

Frame	Time	KR_Angular_Velocity_pre	
410	4.09000	10.700
411	4.10000	10.756
412	4.11000	11.702
413	4.12000	13.266
414	4.13000	15.038
415	4.14000	16.624
416	4.15000	18.305
417	4.16000	20.568
418	4.17000	23.241
419	4.18000	26.165
420	4.19000	28.981
421	4.20000	31.937
422	4.21000	35.162
423	4.22000	38.035
424	4.23000	40.581
425	4.24000	42.790
426	4.25000	45.069
427	4.26000	47.444
428	4.27000	49.874
429	4.28000	52.629
430	4.29000	55.250
431	4.30000	57.932
432	4.31000	61.005
433	4.32000	64.565
434	4.33000	68.048
435	4.34000	70.917
436	4.35000	73.688
437	4.36000	76.199
438	4.37000	78.545
439	4.38000	80.809
440	4.39000	82.719
441	4.40000	84.389
442	4.41000	86.311
443	4.42000	88.721
444	4.43000	90.852
445	4.44000	92.742
446	4.45000	94.763
447	4.46000	96.908
448	4.47000	99.249
449	4.48000	101.395
450	4.49000	103.318
451	4.50000	105.101
452	4.51000	106.766
453	4.52000	108.272
454	4.53000	109.542
455	4.54000	110.314
456	4.55000	110.529
457	4.56000	110.471
458	4.57000	110.426
459	4.58000	110.303
460	4.59000	110.363
461	4.60000	111.053
462	4.61000	112.006
463	4.62000	112.864
464	4.63000	113.521
465	4.64000	114.106
466	4.65000	114.486
467	4.66000	114.551
468	4.67000	114.609
469	4.68000	114.535
470	4.69000	114.549
471	4.70000	114.808
472	4.71000	114.991
473	4.72000	115.267
474	4.73000	115.674
475	4.74000	116.260
476	4.75000	116.829
477	4.76000	117.063
478	4.77000	117.116
479	4.78000	116.755
480	4.79000	115.772
481	4.80000	113.978
482	4.81000	111.486
483	4.82000	108.590
484	4.83000	105.251
485	4.84000	101.871
486	4.85000	98.447
487	4.86000	94.472
488	4.87000	90.052
489	4.88000	85.228
490	4.89000	79.961
491	4.90000	73.747
492	4.91000	68.256
493	4.92000	64.708
494	4.93000	61.626
495	4.94000	58.682
496	4.95000	55.624
497	4.96000	52.665
498	4.97000	48.303
499	4.98000	42.230
500	4.99000	35.915
501	5.00000	29.486
502	5.01000	25.394
503	5.02000	23.304
504	5.03000	20.769
505	5.04000	18.069
506	5.05000	15.457
507	5.06000	12.979
508	5.07000	9.346
509	5.08000	5.696
510	5.09000	3.829
511	5.10000	3.334
512	5.11000	4.249
513	5.12000	6.157
514	5.13000	8.193
515	5.14000	9.564
516	5.15000	10.016
517	5.16000	9.595
518	5.17000	8.638
519	5.18000	7.396
