NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:41:45
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LR_Angular_Velocity

Frame	Time	LR_Angular_Velocity	
494	4.93000	1.553
495	4.94000	0.562
496	4.95000	-0.752
497	4.96000	-2.623
498	4.97000	-4.964
499	4.98000	-7.187
500	4.99000	-8.222
501	5.00000	-7.532
502	5.01000	-5.114
503	5.02000	-1.547
504	5.03000	2.447
505	5.04000	6.015
506	5.05000	7.767
507	5.06000	7.123
508	5.07000	4.863
509	5.08000	1.851
510	5.09000	-1.263
511	5.10000	-3.754
512	5.11000	-4.942
513	5.12000	-4.310
514	5.13000	-2.069
515	5.14000	0.637
516	5.15000	2.786
517	5.16000	4.218
518	5.17000	4.895
519	5.18000	4.818
520	5.19000	3.663
521	5.20000	1.261
522	5.21000	-1.705
523	5.22000	-5.024
524	5.23000	-8.625
525	5.24000	-11.462
526	5.25000	-12.394
527	5.26000	-11.343
528	5.27000	-8.478
529	5.28000	-4.116
530	5.29000	0.468
531	5.30000	4.361
532	5.31000	7.289
533	5.32000	8.590
534	5.33000	7.997
535	5.34000	6.384
536	5.35000	4.819
537	5.36000	3.915
538	5.37000	4.282
539	5.38000	5.717
540	5.39000	7.609
541	5.40000	9.094
542	5.41000	9.569
543	5.42000	8.963
544	5.43000	7.141
545	5.44000	4.274
546	5.45000	0.773
547	5.46000	-2.830
548	5.47000	-5.761
549	5.48000	-7.036
550	5.49000	-6.334
551	5.50000	-4.398
552	5.51000	-1.848
553	5.52000	1.323
554	5.53000	4.401
555	5.54000	6.141
556	5.55000	6.248
557	5.56000	5.442
558	5.57000	4.578
559	5.58000	3.956
560	5.59000	3.344
561	5.60000	3.030
562	5.61000	3.523
563	5.62000	5.294
564	5.63000	7.662
565	5.64000	9.491
566	5.65000	10.599
567	5.66000	10.756
568	5.67000	9.900
569	5.68000	7.976
570	5.69000	5.392
571	5.70000	3.158
572	5.71000	2.077
573	5.72000	2.860
574	5.73000	5.208
575	5.74000	7.476
576	5.75000	8.246
577	5.76000	8.550
578	5.77000	8.553
579	5.78000	7.375
580	5.79000	6.181
581	5.80000	5.685
582	5.81000	6.516
583	5.82000	8.690
584	5.83000	11.313
585	5.84000	13.303
586	5.85000	14.385
587	5.86000	16.198
588	5.87000	18.035
589	5.88000	19.026
590	5.89000	20.390
591	5.90000	22.736
592	5.91000	26.579
593	5.92000	31.452
594	5.93000	37.377
595	5.94000	42.293
596	5.95000	42.307
597	5.96000	37.088
598	5.97000	29.805
599	5.98000	23.394
600	5.99000	19.303
601	6.00000	16.492
602	6.01000	20.531
603	6.02000	29.922
604	6.03000	20.829
605	6.04000	-12.873
606	6.05000	-61.120
607	6.06000	-116.653
608	6.07000	-167.281
609	6.08000	-201.067
610	6.09000	-207.822
611	6.10000	-184.685
612	6.11000	-132.540
613	6.12000	-69.439
614	6.13000	-25.082
615	6.14000	2.018
616	6.15000	18.776
617	6.16000	21.536
618	6.17000	14.176
619	6.18000	3.252
620	6.19000	-4.362
621	6.20000	-7.800
622	6.21000	-9.129
623	6.22000	-10.009
624	6.23000	-10.917
625	6.24000	-9.016
626	6.25000	-3.321
627	6.26000	3.719
628	6.27000	10.064
629	6.28000	15.268
630	6.29000	19.638
631	6.30000	22.750
632	6.31000	24.671
633	6.32000	25.832
634	6.33000	26.533
635	6.34000	27.859
636	6.35000	30.021
637	6.36000	31.357
638	6.37000	30.830
639	6.38000	29.128
640	6.39000	26.928
641	6.40000	24.494
642	6.41000	22.627
643	6.42000	21.822
644	6.43000	21.489
645	6.44000	21.343
646	6.45000	21.547
647	6.46000	21.364
648	6.47000	20.441
649	6.48000	19.192
650	6.49000	17.818
651	6.50000	16.637
652	6.51000	16.089
653	6.52000	16.291
654	6.53000	16.647
655	6.54000	16.614
656	6.55000	16.190
657	6.56000	15.493
658	6.57000	14.553
659	6.58000	13.471
660	6.59000	12.336
661	6.60000	10.815
662	6.61000	9.087
663	6.62000	7.553
664	6.63000	6.273
665	6.64000	5.369
666	6.65000	4.636
667	6.66000	3.797
668	6.67000	2.910
669	6.68000	2.253
670	6.69000	1.800
671	6.70000	1.351
672	6.71000	1.307
673	6.72000	1.670
674	6.73000	2.126
675	6.74000	2.462
676	6.75000	2.509
677	6.76000	2.279
678	6.77000	1.745
679	6.78000	1.030
680	6.79000	0.157
681	6.80000	-0.771
682	6.81000	-1.540
683	6.82000	-2.049
684	6.83000	-2.535
685	6.84000	-3.219
686	6.85000	-3.834
687	6.86000	-4.359
688	6.87000	-4.932
689	6.88000	-5.490
690	6.89000	-6.100
691	6.90000	-6.677
692	6.91000	-6.961
693	6.92000	-6.773
694	6.93000	-6.288
695	6.94000	-5.669
696	6.95000	-5.379
697	6.96000	-5.499
698	6.97000	-5.564
699	6.98000	-5.630
700	6.99000	-5.645
701	7.00000	-5.661
702	7.01000	-5.648
703	7.02000	-5.585
704	7.03000	-5.677
705	7.04000	-5.928
706	7.05000	-6.551
707	7.06000	-7.482
708	7.07000	-8.478
709	7.08000	-9.559
710	7.09000	-10.483
711	7.10000	-11.258
712	7.11000	-12.047
713	7.12000	-12.939
714	7.13000	-13.951
715	7.14000	-14.651
716	7.15000	-14.717
717	7.16000	-14.352
718	7.17000	-13.817
719	7.18000	-13.253
720	7.19000	-12.803
721	7.20000	-12.322
722	7.21000	-11.620
723	7.22000	-10.403
724	7.23000	-8.691
725	7.24000	-6.645
726	7.25000	-4.262
727	7.26000	-2.112
728	7.27000	-0.719
729	7.28000	-0.238
730	7.29000	-0.954
731	7.30000	-2.363
732	7.31000	-3.392
733	7.32000	-3.639
734	7.33000	-3.675
735	7.34000	-3.879
736	7.35000	-3.926
737	7.36000	-3.803
738	7.37000	-3.397
739	7.38000	-2.520
740	7.39000	-1.752
741	7.40000	-1.351
742	7.41000	-1.100
743	7.42000	-1.461
744	7.43000	-2.536
745	7.44000	-3.659
746	7.45000	-4.487
747	7.46000	-4.784
748	7.47000	-4.012
749	7.48000	-2.173
750	7.49000	-0.047
751	7.50000	1.965
752	7.51000	3.610
753	7.52000	4.291
754	7.53000	4.103
755	7.54000	3.414
756	7.55000	2.516
757	7.56000	1.508
758	7.57000	0.648
759	7.58000	0.031
760	7.59000	-0.457
761	7.60000	-0.885
762	7.61000	-1.361
763	7.62000	-2.042
764	7.63000	-3.181
765	7.64000	-4.213
766	7.65000	-5.534
767	7.66000	-7.007
768	7.67000	-7.780
769	7.68000	-8.406
770	7.69000	-9.198
771	7.70000	-10.129
772	7.71000	-10.849
773	7.72000	-11.367
774	7.73000	-11.448
775	7.74000	-11.169
776	7.75000	-11.861
777	7.76000	-12.803
778	7.77000	-13.103
779	7.78000	-13.409
780	7.79000	-14.116
781	7.80000	-15.613
782	7.81000	-17.951
783	7.82000	-20.201
784	7.83000	-21.328
785	7.84000	-21.950
786	7.85000	-22.708
787	7.86000	-23.633
788	7.87000	-23.363
789	7.88000	-21.436
790	7.89000	-19.904
791	7.90000	-19.897
792	7.91000	-21.186
793	7.92000	-22.977
794	7.93000	-24.983
795	7.94000	-26.608
796	7.95000	-28.220
797	7.96000	-30.140
798	7.97000	-30.771
799	7.98000	-30.258
800	7.99000	-29.799
801	8.00000	-29.254
802	8.01000	-28.554
803	8.02000	-28.148
804	8.03000	-27.711
805	8.04000	-26.878
806	8.05000	-26.532
807	8.06000	-25.716
808	8.07000	-24.708
809	8.08000	-25.143
810	8.09000	-26.116
811	8.10000	-26.106
812	8.11000	-24.742
813	8.12000	-23.128
814	8.13000	-21.608
815	8.14000	-19.736
816	8.15000	-17.020
817	8.16000	-13.111
818	8.17000	-9.932
819	8.18000	-7.971
820	8.19000	-5.871
821	8.20000	-3.442
822	8.21000	-0.888
823	8.22000	0.524
824	8.23000	0.548
825	8.24000	-0.306
826	8.25000	-1.843
827	8.26000	-3.308
828	8.27000	-4.538
829	8.28000	-5.819
830	8.29000	-6.818
831	8.30000	-7.493
832	8.31000	-7.736
833	8.32000	-7.989
834	8.33000	-8.561
835	8.34000	-9.250
836	8.35000	-10.025
837	8.36000	-10.445
838	8.37000	-11.228
839	8.38000	-13.722
840	8.39000	-16.623
841	8.40000	-18.677
842	8.41000	-19.896
843	8.42000	-19.869
844	8.43000	-18.580
845	8.44000	-15.199
846	8.45000	-10.210
847	8.46000	-6.108
848	8.47000	-4.249
849	8.48000	-4.667
850	8.49000	-5.979
851	8.50000	-6.770
852	8.51000	-6.615
853	8.52000	-5.085
854	8.53000	-2.352
855	8.54000	1.581
856	8.55000	5.405
857	8.56000	6.815
858	8.57000	6.210
859	8.58000	5.006
860	8.59000	4.700
861	8.60000	6.940
862	8.61000	11.116
863	8.62000	16.454
864	8.63000	23.278
865	8.64000	30.349
866	8.65000	36.543
867	8.66000	42.439
868	8.67000	46.996
869	8.68000	47.624
870	8.69000	44.786
871	8.70000	40.055
872	8.71000	33.447
873	8.72000	25.950
874	8.73000	21.879
875	8.74000	26.992
876	8.75000	35.659
877	8.76000	40.527
878	8.77000	41.032
879	8.78000	36.021
880	8.79000	26.772
881	8.80000	14.740
882	8.81000	1.776
883	8.82000	-9.883
884	8.83000	-16.062
885	8.84000	-13.223
886	8.85000	-8.890
887	8.86000	-5.723
888	8.87000	-0.142
889	8.88000	5.291
890	8.89000	8.899
891	8.90000	10.565
892	8.91000	10.482
893	8.92000	8.067
894	8.93000	3.360
895	8.94000	-1.710
896	8.95000	-4.704
897	8.96000	-4.251
898	8.97000	-0.851
899	8.98000	3.830
900	8.99000	8.573
901	9.00000	11.837
902	9.01000	12.542
903	9.02000	10.643
904	9.03000	6.636
905	9.04000	1.775
906	9.05000	-2.797
907	9.06000	-6.176
908	9.07000	-6.616
909	9.08000	-3.735
910	9.09000	0.647
911	9.10000	5.233
912	9.11000	10.121
913	9.12000	14.782
914	9.13000	18.246
915	9.14000	20.142
916	9.15000	20.042
917	9.16000	17.830
918	9.17000	14.539
919	9.18000	11.590
920	9.19000	9.051
921	9.20000	7.106
922	9.21000	6.326
923	9.22000	6.710
924	9.23000	8.197
925	9.24000	10.422
926	9.25000	12.597
927	9.26000	13.867
928	9.27000	14.497
929	9.28000	15.272
930	9.29000	15.531
931	9.30000	14.692
932	9.31000	13.567
933	9.32000	12.879
934	9.33000	12.853
935	9.34000	13.259
936	9.35000	13.341
937	9.36000	13.198
938	9.37000	13.434
939	9.38000	14.273
940	9.39000	15.407
941	9.40000	16.153
942	9.41000	16.569
943	9.42000	16.440
944	9.43000	15.320
945	9.44000	13.980
946	9.45000	11.634
947	9.46000	9.070
948	9.47000	7.416
949	9.48000	5.927
950	9.49000	5.175
951	9.50000	4.979
952	9.51000	4.859
953	9.52000	4.594
954	9.53000	4.053
955	9.54000	3.462
956	9.55000	2.002
957	9.56000	0.443
958	9.57000	-1.049
959	9.58000	-2.930
960	9.59000	-4.148
961	9.60000	-4.947
962	9.61000	-5.641
963	9.62000	-6.362
964	9.63000	-6.992
965	9.64000	-7.654
966	9.65000	-8.555
967	9.66000	-9.296
968	9.67000	-9.631
969	9.68000	-9.367
970	9.69000	-8.899
971	9.70000	-8.612
972	9.71000	-8.906
973	9.72000	-10.626
974	9.73000	-13.850
975	9.74000	-18.507
976	9.75000	-24.002
977	9.76000	-28.984
978	9.77000	-32.401
979	9.78000	-34.264
980	9.79000	-34.783
981	9.80000	-33.846
982	9.81000	-31.959
983	9.82000	-30.006
984	9.83000	-28.460
985	9.84000	-28.326
986	9.85000	-29.387
987	9.86000	-30.412
988	9.87000	-31.499
989	9.88000	-33.026
990	9.89000	-35.238
991	9.90000	-37.771
992	9.91000	-40.184
993	9.92000	-42.541
994	9.93000	-44.615
995	9.94000	-45.626
996	9.95000	-46.188
997	9.96000	-46.302
998	9.97000	-45.968
999	9.98000	-45.186
1000	9.99000	0.000
