NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:28:11
DATA_INCLUDED	Angle
DATA_TYPES	LL_Angle

Frame	Time	LL_Angle	
785	7.84000	92.332
786	7.85000	92.672
787	7.86000	93.006
788	7.87000	93.331
789	7.88000	93.648
790	7.89000	93.960
791	7.90000	94.263
792	7.91000	94.553
793	7.92000	94.828
794	7.93000	95.083
795	7.94000	95.317
796	7.95000	95.526
797	7.96000	95.714
798	7.97000	95.881
799	7.98000	96.028
800	7.99000	96.151
801	8.00000	96.250
802	8.01000	96.325
803	8.02000	96.377
804	8.03000	96.410
805	8.04000	96.425
806	8.05000	96.423
807	8.06000	96.407
808	8.07000	96.374
809	8.08000	96.322
810	8.09000	96.256
811	8.10000	96.182
812	8.11000	96.106
813	8.12000	96.036
814	8.13000	95.978
815	8.14000	95.931
816	8.15000	95.890
817	8.16000	95.848
818	8.17000	95.800
819	8.18000	95.735
820	8.19000	95.648
821	8.20000	95.540
822	8.21000	95.422
823	8.22000	95.309
824	8.23000	95.212
825	8.24000	95.144
826	8.25000	95.107
827	8.26000	95.106
828	8.27000	95.134
829	8.28000	95.175
830	8.29000	95.218
831	8.30000	95.256
832	8.31000	95.288
833	8.32000	95.307
834	8.33000	95.309
835	8.34000	95.291
836	8.35000	95.250
837	8.36000	95.196
838	8.37000	95.139
839	8.38000	95.089
840	8.39000	95.057
841	8.40000	95.047
842	8.41000	95.061
843	8.42000	95.093
844	8.43000	95.133
845	8.44000	95.174
846	8.45000	95.206
847	8.46000	95.227
848	8.47000	95.231
849	8.48000	95.215
850	8.49000	95.179
851	8.50000	95.129
852	8.51000	95.076
853	8.52000	95.034
854	8.53000	95.012
855	8.54000	95.017
856	8.55000	95.053
857	8.56000	95.115
858	8.57000	95.194
859	8.58000	95.284
860	8.59000	95.373
861	8.60000	95.456
862	8.61000	95.529
863	8.62000	95.588
864	8.63000	95.630
865	8.64000	95.655
866	8.65000	95.667
867	8.66000	95.672
868	8.67000	95.675
869	8.68000	95.684
870	8.69000	95.702
871	8.70000	95.733
872	8.71000	95.774
873	8.72000	95.822
874	8.73000	95.877
875	8.74000	95.935
876	8.75000	95.994
877	8.76000	96.053
878	8.77000	96.106
879	8.78000	96.150
880	8.79000	96.187
881	8.80000	96.215
882	8.81000	96.232
883	8.82000	96.237
884	8.83000	96.233
885	8.84000	96.223
886	8.85000	96.207
887	8.86000	96.189
888	8.87000	96.172
889	8.88000	96.159
890	8.89000	96.153
891	8.90000	96.158
892	8.91000	96.168
893	8.92000	96.182
894	8.93000	96.198
895	8.94000	96.213
896	8.95000	96.224
897	8.96000	96.229
898	8.97000	96.231
899	8.98000	96.229
900	8.99000	96.227
901	9.00000	96.225
902	9.01000	96.222
903	9.02000	96.219
904	9.03000	96.217
905	9.04000	96.218
906	9.05000	96.220
907	9.06000	96.221
908	9.07000	96.223
909	9.08000	96.223
910	9.09000	96.221
911	9.10000	96.215
912	9.11000	96.203
913	9.12000	96.186
914	9.13000	96.165
915	9.14000	96.144
916	9.15000	96.121
917	9.16000	96.102
918	9.17000	96.089
919	9.18000	96.081
920	9.19000	96.075
921	9.20000	96.072
922	9.21000	96.068
923	9.22000	96.063
924	9.23000	96.054
925	9.24000	96.037
926	9.25000	96.011
927	9.26000	95.979
928	9.27000	95.940
929	9.28000	95.896
930	9.29000	95.853
931	9.30000	95.816
932	9.31000	95.785
933	9.32000	95.761
934	9.33000	95.740
935	9.34000	95.723
936	9.35000	95.711
937	9.36000	95.699
938	9.37000	95.684
939	9.38000	95.664
940	9.39000	95.641
941	9.40000	95.616
942	9.41000	95.588
943	9.42000	95.561
944	9.43000	95.537
945	9.44000	95.523
946	9.45000	95.519
947	9.46000	95.527
948	9.47000	95.549
949	9.48000	95.578
950	9.49000	95.614
951	9.50000	95.650
952	9.51000	95.681
953	9.52000	95.706
954	9.53000	95.725
955	9.54000	95.738
956	9.55000	95.748
957	9.56000	95.758
958	9.57000	95.774
959	9.58000	95.795
960	9.59000	95.822
961	9.60000	95.851
962	9.61000	95.881
963	9.62000	95.913
964	9.63000	95.945
965	9.64000	95.976
966	9.65000	96.010
967	9.66000	96.044
968	9.67000	96.082
969	9.68000	96.121
970	9.69000	96.160
971	9.70000	96.199
972	9.71000	96.235
973	9.72000	96.268
974	9.73000	96.295
975	9.74000	96.318
976	9.75000	96.343
977	9.76000	96.370
978	9.77000	96.405
979	9.78000	96.444
980	9.79000	96.493
981	9.80000	96.549
982	9.81000	96.612
983	9.82000	96.682
984	9.83000	96.755
985	9.84000	96.834
986	9.85000	96.916
987	9.86000	97.000
988	9.87000	97.083
989	9.88000	97.160
990	9.89000	97.236
991	9.90000	97.305
992	9.91000	97.374
993	9.92000	97.441
994	9.93000	97.505
995	9.94000	97.570
996	9.95000	97.631
997	9.96000	97.689
998	9.97000	97.744
999	9.98000	97.798
1000	9.99000	97.849
