NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:13:34
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LL_Angular_Velocity

Frame	Time	LL_Angular_Velocity	
454	4.53000	30.212
455	4.54000	29.970
456	4.55000	29.900
457	4.56000	31.053
458	4.57000	32.553
459	4.58000	34.943
460	4.59000	39.132
461	4.60000	43.555
462	4.61000	47.434
463	4.62000	50.760
464	4.63000	51.672
465	4.64000	49.525
466	4.65000	45.218
467	4.66000	39.514
468	4.67000	34.021
469	4.68000	30.882
470	4.69000	31.294
471	4.70000	33.865
472	4.71000	37.071
473	4.72000	40.502
474	4.73000	43.235
475	4.74000	44.836
476	4.75000	45.196
477	4.76000	44.782
478	4.77000	43.999
479	4.78000	42.920
480	4.79000	42.026
481	4.80000	41.466
482	4.81000	41.253
483	4.82000	41.212
484	4.83000	41.010
485	4.84000	40.259
486	4.85000	39.075
487	4.86000	37.862
488	4.87000	36.344
489	4.88000	34.206
490	4.89000	31.731
491	4.90000	29.314
492	4.91000	27.042
493	4.92000	24.661
494	4.93000	22.080
495	4.94000	19.412
496	4.95000	16.905
497	4.96000	14.811
498	4.97000	13.074
499	4.98000	11.236
500	4.99000	9.458
501	5.00000	7.925
502	5.01000	6.485
503	5.02000	5.072
504	5.03000	3.754
505	5.04000	2.912
506	5.05000	2.467
507	5.06000	2.331
508	5.07000	2.468
509	5.08000	2.693
510	5.09000	3.055
511	5.10000	3.255
512	5.11000	3.125
513	5.12000	2.732
514	5.13000	2.040
515	5.14000	1.266
516	5.15000	0.229
517	5.16000	-1.074
518	5.17000	-2.417
519	5.18000	-3.500
520	5.19000	-3.958
521	5.20000	-3.635
522	5.21000	-2.621
523	5.22000	-1.286
524	5.23000	0.093
525	5.24000	1.301
526	5.25000	1.976
527	5.26000	2.174
528	5.27000	2.127
529	5.28000	1.957
530	5.29000	1.803
531	5.30000	1.651
532	5.31000	1.344
533	5.32000	0.890
534	5.33000	0.508
535	5.34000	0.417
536	5.35000	0.730
537	5.36000	1.214
538	5.37000	1.857
539	5.38000	2.513
540	5.39000	2.851
541	5.40000	2.948
542	5.41000	2.809
543	5.42000	2.472
544	5.43000	2.126
545	5.44000	1.893
546	5.45000	1.677
547	5.46000	1.226
548	5.47000	0.810
549	5.48000	0.472
550	5.49000	0.136
551	5.50000	0.104
552	5.51000	0.103
553	5.52000	-0.008
554	5.53000	-0.124
555	5.54000	-0.569
556	5.55000	-1.333
557	5.56000	-2.187
558	5.57000	-3.003
559	5.58000	-3.713
560	5.59000	-4.415
561	5.60000	-5.060
