NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:37:18
DATA_INCLUDED	Angle
DATA_TYPES	KL_Angle

Frame	Time	KL_Angle	
413	4.12000	75.842
414	4.13000	75.898
415	4.14000	75.957
416	4.15000	76.014
417	4.16000	76.067
418	4.17000	76.114
419	4.18000	76.160
420	4.19000	76.204
421	4.20000	76.250
422	4.21000	76.296
423	4.22000	76.336
424	4.23000	76.364
425	4.24000	76.371
426	4.25000	76.360
427	4.26000	76.331
428	4.27000	76.290
429	4.28000	76.242
430	4.29000	76.189
431	4.30000	76.135
432	4.31000	76.079
433	4.32000	76.020
434	4.33000	75.958
435	4.34000	75.891
436	4.35000	75.818
437	4.36000	75.739
438	4.37000	75.656
439	4.38000	75.573
440	4.39000	75.492
441	4.40000	75.416
442	4.41000	75.348
443	4.42000	75.293
444	4.43000	75.251
445	4.44000	75.213
446	4.45000	75.188
447	4.46000	75.168
448	4.47000	75.149
449	4.48000	75.135
450	4.49000	75.123
451	4.50000	75.113
452	4.51000	75.110
453	4.52000	75.115
454	4.53000	75.125
455	4.54000	75.139
456	4.55000	75.164
457	4.56000	75.187
458	4.57000	75.211
459	4.58000	75.236
460	4.59000	75.261
461	4.60000	75.285
462	4.61000	75.306
463	4.62000	75.324
464	4.63000	75.335
465	4.64000	75.341
466	4.65000	75.343
467	4.66000	75.342
468	4.67000	75.341
469	4.68000	75.342
470	4.69000	75.347
471	4.70000	75.356
472	4.71000	75.367
473	4.72000	75.380
474	4.73000	75.392
475	4.74000	75.405
476	4.75000	75.419
477	4.76000	75.434
478	4.77000	75.452
479	4.78000	75.473
480	4.79000	75.498
481	4.80000	75.526
482	4.81000	75.557
483	4.82000	75.588
484	4.83000	75.621
485	4.84000	75.655
486	4.85000	75.688
487	4.86000	75.724
488	4.87000	75.761
489	4.88000	75.799
490	4.89000	75.838
491	4.90000	75.876
492	4.91000	75.912
493	4.92000	75.945
494	4.93000	75.973
495	4.94000	75.996
496	4.95000	76.015
497	4.96000	76.032
498	4.97000	76.044
499	4.98000	76.053
500	4.99000	76.053
501	5.00000	76.045
502	5.01000	76.026
503	5.02000	75.997
504	5.03000	75.956
505	5.04000	75.904
506	5.05000	75.845
507	5.06000	75.783
508	5.07000	75.713
509	5.08000	75.647
510	5.09000	75.583
511	5.10000	75.512
512	5.11000	75.446
513	5.12000	75.383
514	5.13000	75.321
515	5.14000	75.264
516	5.15000	75.214
517	5.16000	75.176
518	5.17000	75.153
519	5.18000	75.150
520	5.19000	75.163
521	5.20000	75.193
522	5.21000	75.260
523	5.22000	75.361
524	5.23000	75.495
525	5.24000	75.668
526	5.25000	75.878
527	5.26000	76.117
528	5.27000	76.371
529	5.28000	76.619
530	5.29000	76.845
531	5.30000	77.043
532	5.31000	77.215
533	5.32000	77.362
534	5.33000	77.488
535	5.34000	77.609
536	5.35000	77.730
537	5.36000	77.859
538	5.37000	77.994
539	5.38000	78.130
540	5.39000	78.261
541	5.40000	78.387
542	5.41000	78.512
543	5.42000	78.639
544	5.43000	78.775
545	5.44000	78.925
546	5.45000	79.092
547	5.46000	79.279
548	5.47000	79.484
549	5.48000	79.702
550	5.49000	79.930
551	5.50000	80.165
552	5.51000	80.410
553	5.52000	80.660
554	5.53000	80.921
555	5.54000	81.194
556	5.55000	81.475
557	5.56000	81.759
558	5.57000	82.048
559	5.58000	82.341
560	5.59000	82.645
561	5.60000	82.960
562	5.61000	83.285
563	5.62000	83.618
564	5.63000	83.964
565	5.64000	84.327
566	5.65000	84.707
567	5.66000	85.104
568	5.67000	85.520
