NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:16:17
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	HR_Angular_Acceleration

Frame	Time	HR_Angular_Acceleration	
89	0.88000	24.205
90	0.89000	20.157
91	0.90000	20.512
92	0.91000	34.083
93	0.92000	2.532
94	0.93000	12.326
95	0.94000	7.676
96	0.95000	-6.468
97	0.96000	-29.935
98	0.97000	-5.214
99	0.98000	-7.893
100	0.99000	6.516
101	1.00000	7.192
102	1.01000	19.320
103	1.02000	3.074
104	1.03000	21.333
105	1.04000	-3.075
106	1.05000	-0.696
107	1.06000	3.680
108	1.07000	19.396
109	1.08000	36.160
110	1.09000	20.736
111	1.10000	-4.398
112	1.11000	19.818
113	1.12000	-23.962
114	1.13000	-20.970
115	1.14000	-33.875
116	1.15000	-25.823
117	1.16000	14.443
118	1.17000	1.091
119	1.18000	6.803
120	1.19000	18.671
121	1.20000	21.976
122	1.21000	21.041
123	1.22000	6.139
124	1.23000	13.607
125	1.24000	3.149
126	1.25000	1.569
127	1.26000	11.964
128	1.27000	-4.422
129	1.28000	-16.328
130	1.29000	-1.938
131	1.30000	-30.171
132	1.31000	-34.118
133	1.32000	-14.502
134	1.33000	-38.206
135	1.34000	-32.647
136	1.35000	-28.835
137	1.36000	-4.723
138	1.37000	-5.580
139	1.38000	4.546
140	1.39000	9.888
141	1.40000	9.872
142	1.41000	13.729
143	1.42000	13.833
144	1.43000	3.621
145	1.44000	-15.082
146	1.45000	-5.148
147	1.46000	-25.874
148	1.47000	-14.469
149	1.48000	0.433
150	1.49000	-21.229
151	1.50000	-33.740
152	1.51000	-61.679
153	1.52000	-26.990
154	1.53000	40.492
155	1.54000	-105.704
156	1.55000	-129.626
157	1.56000	-148.920
158	1.57000	-143.120
159	1.58000	-60.019
160	1.59000	-34.344
161	1.60000	134.912
162	1.61000	-180.471
163	1.62000	-20.119
164	1.63000	-391.304
165	1.64000	-408.980
166	1.65000	-203.039
167	1.66000	-204.418
168	1.67000	-255.195
169	1.68000	-131.776
170	1.69000	-85.050
171	1.70000	105.496
172	1.71000	-755.400
173	1.72000	182.931
174	1.73000	-141.303
175	1.74000	336.666
176	1.75000	287.591
177	1.76000	-355.174
178	1.77000	235.133
179	1.78000	238.726
180	1.79000	116.049
181	1.80000	36.796
182	1.81000	-355.746
183	1.82000	421.296
184	1.83000	2.852
185	1.84000	-55.498
186	1.85000	-467.427
187	1.86000	-756.215
188	1.87000	98.735
189	1.88000	-538.169
190	1.89000	-490.268
191	1.90000	-622.093
192	1.91000	-535.968
193	1.92000	-404.535
194	1.93000	-332.069
195	1.94000	-197.928
196	1.95000	-67.687
197	1.96000	37.505
198	1.97000	104.422
199	1.98000	-165.181
200	1.99000	-152.864
201	2.00000	-322.658
202	2.01000	-224.226
203	2.02000	-190.445
204	2.03000	-291.779
205	2.04000	-239.368
206	2.05000	-238.245
207	2.06000	-231.414
208	2.07000	-166.122
209	2.08000	-45.337
210	2.09000	-78.906
211	2.10000	-12.690
212	2.11000	-100.610
213	2.12000	-138.734
214	2.13000	-205.725
215	2.14000	-124.940
216	2.15000	-87.545
217	2.16000	20.557
218	2.17000	87.088
219	2.18000	64.011
220	2.19000	112.673
221	2.20000	28.322
222	2.21000	-21.500
223	2.22000	8.876
224	2.23000	41.588
225	2.24000	106.910
226	2.25000	123.258
227	2.26000	52.167
228	2.27000	-27.428
229	2.28000	-84.875
230	2.29000	0.207
231	2.30000	-71.611
232	2.31000	-121.360
233	2.32000	-97.924
234	2.33000	-48.251
235	2.34000	64.038
236	2.35000	99.550
237	2.36000	43.582
238	2.37000	12.770
239	2.38000	-120.637
240	2.39000	-141.276
241	2.40000	-257.961
242	2.41000	-259.476
243	2.42000	-142.237
244	2.43000	-55.588
245	2.44000	75.818
246	2.45000	52.731
247	2.46000	27.838
248	2.47000	-89.257
249	2.48000	-110.420
250	2.49000	20.848
251	2.50000	55.418
252	2.51000	150.108
253	2.52000	180.104
254	2.53000	126.527
255	2.54000	157.443
256	2.55000	-77.740
257	2.56000	-53.969
258	2.57000	-18.778
259	2.58000	32.568
260	2.59000	54.607
261	2.60000	70.941
262	2.61000	82.336
263	2.62000	55.317
264	2.63000	71.393
265	2.64000	127.755
266	2.65000	1.791
